,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year
8381,PALM LANE ELEMENTARY SCHOOL,PUBLIC,2043 N 64TH DR,PHOENIX,MARICOPA,85035.0,YES,74,97.3%,97.3%,95.9%,98.6%,100.0%,1.4%,1.4%,1.4%,1.4%,0.0%,2021
8382,PERALTA ELEMENTARY SCHOOL,PUBLIC,7125 W ENCANTO BLVD,PHOENIX,MARICOPA,85035.0,NO,127,97.6%,98.4%,98.4%,100.0%,98.4%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8383,AGUA CALIENTE SCHOOL,PUBLIC,11420 E LIMBERLOST RD,TUCSON,PIMA,85749.0,YES,51,92.2%,92.2%,92.2%,92.2%,92.2%,7.8%,7.8%,7.8%,7.8%,7.8%,2021
8384,TOMAHAWK ELEMENTARY SCHOOL,PUBLIC,7820 W TURNEY AVE,PHOENIX,MARICOPA,85033.0,YES,136,97.1%,95.6%,97.1%,96.3%,98.5%,1.5%,1.5%,0.7%,0.7%,0.7%,2021
8385,G FRANK DAVIDSON,PUBLIC,6935 W OSBORN RD,PHOENIX,MARICOPA,85033.0,YES,111,94.6%,94.6%,94.6%,94.6%,94.6%,1.8%,1.8%,1.8%,1.8%,0.0%,2021
8386,BRET TARVER ELEMENTARY,PUBLIC,4308 N 51ST AVE,PHOENIX,MARICOPA,85031.0,YES,89,95.5%,95.5%,95.5%,97.8%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8387,MANUEL PENA JR. ELEMENTARY SCHOOL,PUBLIC,2550 N 79TH AVE,PHOENIX,MARICOPA,85035.0,NO,124,90.3%,91.1%,90.3%,97.6%,97.6%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8388,PENDERGAST ELEMENTARY SCHOOL,PUBLIC,3802 N 91ST AVE,PHOENIX,MARICOPA,85037.0,NO,87,90.8%,92.0%,92.0%,92.0%,92.0%,8.0%,8.0%,8.0%,8.0%,8.0%,2021
8389,AJO ELEMENTARY SCHOOL,PUBLIC,111 WELL RD,AJO,PIMA,85321.0,YES,<20,100.0%,100.0%,93.8%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8390,DESERT HORIZON ELEMENTARY SCHOOL,PUBLIC,8525 W OSBORN RD,PHOENIX,MARICOPA,85037.0,NO,69,95.7%,97.1%,95.7%,97.1%,97.1%,2.9%,2.9%,2.9%,2.9%,2.9%,2021
8391,VILLA DE PAZ ELEMENTARY SCHOOL,PUBLIC,4940 N 103RD AVE,PHOENIX,MARICOPA,85037.0,NO,55,92.7%,96.4%,92.7%,94.5%,96.4%,5.5%,3.6%,7.3%,3.6%,3.6%,2021
8392,GARDEN LAKES ELEMENTARY SCHOOL,PUBLIC,10825 W GARDEN LAKES PKWY,AVONDALE,MARICOPA,85392.0,NO,91,92.3%,93.4%,93.4%,98.9%,100.0%,3.3%,3.3%,3.3%,1.1%,0.0%,2021
8393,DESERT MIRAGE ELEMENTARY SCHOOL,PUBLIC,8605 W MARYLAND AVE,GLENDALE,MARICOPA,85305.0,NO,70,95.7%,98.6%,98.6%,100.0%,98.6%,1.4%,1.4%,1.4%,0.0%,1.4%,2021
8394,COPPER KING ELEMENTARY,PUBLIC,10730 W CAMPBELL AVE,PHOENIX,MARICOPA,85037.0,NO,55,92.7%,92.7%,94.5%,96.4%,98.2%,5.5%,5.5%,5.5%,3.6%,1.8%,2021
8395,CANYON BREEZE ELEMENTARY,PUBLIC,11675 W ENCANTO BLVD,AVONDALE,MARICOPA,85392.0,NO,58,94.8%,96.6%,96.6%,96.6%,96.6%,3.4%,3.4%,3.4%,3.4%,3.4%,2021
8396,SONORAN SKY ELEMENTARY SCHOOL-85307,PUBLIC,10150 W MISSOURI AVE,GLENDALE,MARICOPA,85307.0,NO,49,89.8%,91.8%,95.9%,98.0%,98.0%,6.1%,6.1%,4.1%,2.0%,2.0%,2021
8397,RIO VISTA ELEMENTARY,PUBLIC,10237 W ENCANTO BLVD,AVONDALE,MARICOPA,85392.0,NO,68,97.1%,91.2%,86.8%,95.6%,98.5%,1.5%,7.4%,8.8%,2.9%,1.5%,2021
8398,SUNSET RIDGE ELEMENTARY-85305,PUBLIC,8490 W MISSOURI AVE,GLENDALE,MARICOPA,85305.0,NO,53,94.3%,92.5%,94.3%,96.2%,94.3%,5.7%,0.0%,5.7%,3.8%,5.7%,2021
8399,SUNRISE DRIVE ELEMENTARY SCHOOL,PUBLIC,5301 E SUNRISE DR,TUCSON,PIMA,85718.0,YES,71,98.6%,97.2%,97.2%,98.6%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8400,WESTWIND PRIMARY-85037,PUBLIC,9040 W CAMPBELL AVE,PHOENIX,MARICOPA,85037.0,NO,100,96.0%,98.0%,98.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8401,AMBERLEA ELEMENTARY SCHOOL,PUBLIC,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037.0,NO,50,90.0%,92.0%,90.0%,94.0%,94.0%,8.0%,8.0%,10.0%,6.0%,6.0%,2021
8402,FIRST SOUTHERN CHRISTIAN SCHOOL,PRIVATE,445 E SPEEDWAY BLVD,TUCSON,PIMA,85705.0,NO,<20,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8403,FAMILY LIFE ACADEMY,PRIVATE,530 S PANTANO RD,TUCSON,PIMA,85710.0,NO,<20,92.3%,92.3%,92.3%,100.0%,100.0%,7.7%,7.7%,7.7%,0.0%,0.0%,2021
8404,MANZANITA SCHOOL,PUBLIC,3000 E MANZANITA AVE,TUCSON,PIMA,85718.0,YES,94,96.8%,97.9%,94.7%,100.0%,100.0%,1.1%,0.0%,1.1%,0.0%,0.0%,2021
8405,SAINT MICHAEL'S PARISH DAY SCHOOL,PRIVATE,602 N WILMOT RD,TUCSON,PIMA,85711.0,YES,22,100.0%,95.5%,100.0%,95.5%,100.0%,0.0%,4.5%,0.0%,4.5%,0.0%,2021
8406,CASTLEHILL COUNTRY DAY SCHOOL,PRIVATE,3225 N CRAYCROFT RD,TUCSON,PIMA,85712.0,NO,<20,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8407,SOUTHWESTERN CHRISTIAN SCHOOL,PRIVATE,3261 S AVENUE 6 E,YUMA,YUMA,85365.0,NO,<20,94.7%,100.0%,68.4%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8408,PAYSON COMMUNITY CHRISTIAN SCHOOL,PRIVATE,1000 E FRONTIER ST,PAYSON,GILA,85541.0,NO,<20,75.0%,68.8%,62.5%,68.8%,75.0%,25.0%,25.0%,25.0%,31.3%,25.0%,2021
8409,CANYON VIEW ELEMENTARY SCHOOL,PUBLIC,5725 N SABINO CANYON RD,TUCSON,PIMA,85750.0,YES,48,100.0%,100.0%,97.9%,100.0%,100.0%,0.0%,0.0%,2.1%,0.0%,0.0%,2021
8410,ARROWHEAD CHRISTIAN ACADEMY,PRIVATE,4030 W YORKSHIRE DR,GLENDALE,MARICOPA,85308.0,NO,<20,46.7%,46.7%,46.7%,53.3%,53.3%,33.3%,33.3%,33.3%,33.3%,33.3%,2021
8411,GILBERT CHRISTIAN ELEMENTARY & MIDDLE SCHOOL,PRIVATE,1424 S PROMENADE LN,GILBERT,MARICOPA,85296.0,NO,51,74.5%,76.5%,80.4%,70.6%,76.5%,17.6%,17.6%,17.6%,21.6%,23.5%,2021
8412,ARIZONA CULTURAL ACADEMY,PRIVATE,7810 S 42ND PL,PHOENIX,MARICOPA,85042.0,NO,<20,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8413,PARADISE VALLEY CHRISTIAN PREPARATORY,PRIVATE,11875 N 24TH ST,PHOENIX,MARICOPA,85028.0,YES,21,66.7%,71.4%,66.7%,71.4%,66.7%,33.3%,28.6%,33.3%,28.6%,33.3%,2021
8414,LEADING EDGE ACADEMY - MOUNTAIN VIEW CAMPUS,CHARTER,4815 W HUNT HWY,QUEEN CREEK,PINAL,85142.0,NO,66,75.8%,74.2%,74.2%,80.3%,81.8%,21.2%,19.7%,18.2%,19.7%,16.7%,2021
8415,REYES MARIA RUIZ LEADERSHIP ACADEMY,CHARTER,4848 S 2ND ST,PHOENIX,MARICOPA,85040.0,NO,53,84.9%,73.6%,81.1%,94.3%,92.5%,1.9%,1.9%,1.9%,1.9%,1.9%,2021
8416,EAGLE COLLEGE PREP HARMONY,CHARTER,2435 E PECAN RD,PHOENIX,MARICOPA,85040.0,NO,23,100.0%,100.0%,91.3%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8417,ASU PREPARATORY ACADEMY - POLYTECHNIC ELEMENTARY SCHOOL,PUBLIC,6950 E WILLIAMS FIELDS ROAD,MESA,MARICOPA,85212.0,YES,77,90.9%,92.2%,90.9%,92.2%,93.5%,7.8%,7.8%,7.8%,7.8%,6.5%,2021
8418,THE PAIDEIA ACADEMY OF SOUTH PHOENIX,CHARTER,7777 S 15TH TER,PHOENIX,MARICOPA,85042.0,NO,105,92.4%,95.2%,92.4%,93.3%,96.2%,2.9%,2.9%,2.9%,2.9%,2.9%,2021
8419,REID TRADITIONAL SCHOOL PAINTED ROCK ACADEMY,CHARTER,14800 N 25TH DRIVE,PHOENIX,MARICOPA,85023.0,YES,79,92.4%,92.4%,91.1%,92.4%,91.1%,7.6%,7.6%,8.9%,7.6%,8.9%,2021
8420,ARCHWAY CLASSICAL ACADEMY - NORTH PHOENIX,CHARTER,"13613 N CAVE CREEK RD, BUILDING C",PHOENIX,MARICOPA,85018.0,YES,119,89.1%,87.4%,88.2%,89.1%,89.9%,10.9%,12.6%,11.8%,10.9%,10.1%,2021
8421,LEGACY TRADITIONAL CHARTER SCHOOL - LAVEEN VILLAGE,CHARTER,7900 S 43RD AVE,LAVEEN,MARICOPA,85339.0,NO,131,93.1%,91.6%,93.1%,96.2%,96.9%,5.3%,4.6%,5.3%,3.8%,3.1%,2021
8422,CASA ACADEMY,CHARTER,8047 NORTH 35TH AVENUE,PHOENIX,MARICOPA,85051.0,NO,32,90.6%,96.9%,96.9%,96.9%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8423,VENTANA VISTA ELEMENTARY SCHOOL,PUBLIC,6085 N KOLB RD,TUCSON,PIMA,85750.0,YES,79,97.5%,97.5%,97.5%,96.2%,100.0%,1.3%,0.0%,1.3%,3.8%,0.0%,2021
8424,EAGLE COLLEGE PREP - MARYVALE,CHARTER,3950 N 53RD AVE,PHOENIX,MARICOPA,85031.0,NO,38,97.4%,97.4%,100.0%,97.4%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8425,EAGLE COLLEGE PREP - MESA,CHARTER,1619 E MAIN ST,MESA,MARICOPA,85203.0,NO,28,96.4%,96.4%,96.4%,96.4%,96.4%,3.6%,3.6%,3.6%,3.6%,3.6%,2021
8426,VISTA COLLEGE PREPARATORY - 85003,CHARTER,812 S SIXTH AVE,PHOENIX,MARICOPA,85003.0,YES,51,100.0%,98.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8427,VISTA COLLEGE PREP - MARYVALE,CHARTER,4520 W MCDOWELL RD,PHOENIX,MARICOPA,85035.0,NO,78,94.9%,97.4%,97.4%,98.7%,100.0%,2.6%,2.6%,2.6%,1.3%,0.0%,2021
8428,BASIS - MESA,CHARTER,5010 S EASTMARK PKWY,MESA,MARICOPA,85212.0,NO,62,85.5%,85.5%,87.1%,88.7%,88.7%,14.5%,14.5%,12.9%,11.3%,11.3%,2021
8429,ARIZONA AUTISM CHARTER SCHOOL,CHARTER,4433 N 7TH ST,PHOENIX,MARICOPA,85014.0,YES,45,95.6%,88.9%,88.9%,95.6%,95.6%,2.2%,2.2%,2.2%,4.4%,2.2%,2021
8430,LEGACY TRADITIONAL CHARTER SCHOOL - GILBERT,CHARTER,2747 S RECKER RD,GILBERT,MARICOPA,85295.0,NO,139,82.7%,80.6%,85.6%,91.4%,94.2%,11.5%,8.6%,10.8%,5.8%,4.3%,2021
8431,DISCOVER U,CHARTER,13226 N 113TH AVE,YOUNGTOWN,MARICOPA,85363.0,NO,29,93.1%,93.1%,93.1%,96.6%,96.6%,6.9%,6.9%,6.9%,3.4%,3.4%,2021
8432,ACACIA ELEMENTARY SCHOOL,PUBLIC,12955 E COLOSSAL CAVE RD,VAIL,PIMA,85641.0,NO,126,96.0%,96.0%,96.0%,96.0%,97.6%,4.0%,4.0%,4.0%,4.0%,2.4%,2021
8433,BASIS PHOENIX CENTRAL PRIMARY,CHARTER,201 E INDIANOLA AVE,PHOENIX,MARICOPA,85012.0,NO,77,83.1%,84.4%,85.7%,89.6%,93.5%,15.6%,14.3%,14.3%,7.8%,6.5%,2021
8434,HORIZON HONORS ELEMENTARY SCHOOL,CHARTER,16233 S 48TH ST,PHOENIX,MARICOPA,85048.0,NO,98,89.8%,88.8%,89.8%,93.9%,94.9%,10.2%,11.2%,10.2%,6.1%,5.1%,2021
8435,GREAT HEART ACADEMIES ARCHWAY LINCOLN,CHARTER,2250 S GILBERT RD,CHANDLER,MARICOPA,,YES,109,93.6%,91.7%,90.8%,91.7%,91.7%,6.4%,8.3%,9.2%,8.3%,8.3%,2021
8436,BASIS CHANDLER PRIMARY NORTH CAMPUS,CHARTER,1800 E CHANDLER BLVD,CHANDLER,MARICOPA,85225.0,NO,135,89.6%,79.3%,92.6%,95.6%,94.8%,6.7%,6.7%,6.7%,3.7%,4.4%,2021
8437,SYNERGY PUBLIC SCHOOL,CHARTER,2701 W BETHANY HOME RD,PHOENIX,MARICOPA,85017.0,NO,86,93.0%,95.3%,86.0%,95.3%,96.5%,5.8%,0.0%,3.5%,3.5%,3.5%,2021
8438,ADVANCE U,CHARTER,449 E SOUTHERN AVE,PHOENIX,MARICOPA,85040.0,NO,<20,78.6%,92.9%,78.6%,92.9%,92.9%,14.3%,7.1%,14.3%,7.1%,7.1%,2021
8439,ACADEMY OF MATH AND SCIENCE - DESERT SKY,CHARTER,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035.0,YES,124,87.1%,71.8%,91.1%,95.2%,96.0%,5.6%,4.8%,4.8%,4.0%,3.2%,2021
8440,ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,CHARTER,3335 W FLOWER ST,PHOENIX,MARICOPA,85017.0,NO,180,86.1%,76.1%,86.1%,91.7%,91.1%,0.6%,0.6%,1.1%,0.0%,0.0%,2021
8441,SCOTTSDALE COUNTRY DAY SCHOOL,CHARTER,10460 N 56TH ST,SCOTTSDALE,MARICOPA,85253.0,NO,<20,83.3%,83.3%,83.3%,83.3%,83.3%,16.7%,16.7%,16.7%,16.7%,16.7%,2021
8442,LEGACY TRADITIONAL SCHOOL - CASA GRANDE,CHARTER,1274 E O'NEIL DR,CASA GRANDE,PINAL,85138.0,NO,164,92.1%,91.5%,92.1%,93.3%,94.5%,7.3%,7.9%,7.3%,6.1%,5.5%,2021
8443,SEQUOIA PATHWAY ACADEMY,CHARTER,19265 N. PORTER RD,MARICOPA,PINAL,85138.0,NO,67,85.1%,85.1%,85.1%,85.1%,85.1%,3.0%,0.0%,0.0%,0.0%,0.0%,2021
8444,GREAT HEARTS ACADEMIES - ARCHWAY ARETE GILBERT,CHARTER,4525 E BASELINE RD,MESA,MARICOPA,85234.0,YES,90,93.3%,93.3%,93.3%,93.3%,95.6%,6.7%,6.7%,6.7%,6.7%,4.4%,2021
8445,GREAT HEART ACADEMIES ARCHWAY CICERO,CHARTER,7205 N PIMA RD,SCOTTSDALE,MARICOPA,85258.0,YES,84,88.1%,88.1%,89.3%,84.5%,90.5%,11.9%,11.9%,10.7%,15.5%,9.5%,2021
8446,ASU PREPARATORY ACADEMY - PHOENIX MIDDLE SCHOOL,CHARTER,735 E FILLMORE ST,PHOENIX,MARICOPA,,YES,74,90.5%,89.2%,90.5%,89.2%,91.9%,1.4%,1.4%,1.4%,1.4%,1.4%,2021
8447,ETHOS ACADEMY,CHARTER,8840 N. 43RD AVE,GLENDALE,MARICOPA,85302.0,NO,28,82.1%,85.7%,82.1%,89.3%,89.3%,10.7%,10.7%,10.7%,10.7%,10.7%,2021
8448,DESERT WILLOW ELEMENTARY SCHOOL - TUCSON,PUBLIC,9400 E ESMOND LOOP,TUCSON,PIMA,85747.0,NO,119,95.8%,92.4%,95.8%,95.8%,95.8%,4.2%,7.6%,4.2%,4.2%,4.2%,2021
8449,SELF DEVELOPMENT ACADEMY PHOENIX,CHARTER,1515 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,,NO,45,86.7%,88.9%,86.7%,86.7%,88.9%,11.1%,11.1%,11.1%,11.1%,11.1%,2021
8450,ARIZONA LANGUAGE PREPARATORY,CHARTER,4645 E MARILYN ROAD,PHOENIX,MARICOPA,85032.0,NO,<20,93.8%,93.8%,93.8%,93.8%,93.8%,6.3%,6.3%,6.3%,6.3%,6.3%,2021
8451,NOAH WEBSTER SCHOOLS-PIMA,CHARTER,5399 N PIMA RD,SCOTTSDALE,MARICOPA,85250.0,NO,51,96.1%,98.0%,98.0%,94.1%,100.0%,3.9%,2.0%,2.0%,5.9%,0.0%,2021
8452,FRANKLIN PHONETIC PRIMARY SCHOOL SUNNYSLOPE,CHARTER,9317 N 2ND ST,PHOENIX,MARICOPA,85020.0,NO,<20,61.5%,69.2%,61.5%,76.9%,92.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8453,GREAT HEARTS ACADEMIES - ARCHWAY CLASSICAL ACADEMY TRIVIUM EAST,CHARTER,"14130 W MCDOWELL RD, STE 222",GOODYEAR,MARICOPA,,YES,88,88.6%,89.8%,89.8%,90.9%,92.0%,11.4%,10.2%,10.2%,9.1%,8.0%,2021
8454,BASIS GOODYEAR PRIMARY,CHARTER,15800 W SHERMAN ST,GOODYEAR,MARICOPA,85338.0,NO,122,91.8%,91.0%,91.0%,92.6%,95.1%,8.2%,9.0%,9.0%,7.4%,4.9%,2021
8455,BASIS GOODYEAR,CHARTER,15800 W SHERMAN ST,GOODYEAR,MARICOPA,85338.0,NO,120,91.7%,90.8%,90.8%,92.5%,95.0%,8.3%,9.2%,9.2%,7.5%,5.0%,2021
8456,COTTONWOOD ELEMENTARY SCHOOL - 85641,PUBLIC,9950 REES LOOP,TUCSON,PIMA,,NO,101,96.0%,95.0%,96.0%,98.0%,99.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8457,ACADEMY OF MATH AND SCIENCE CAMELBACK,CHARTER,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033.0,NO,188,84.0%,83.0%,85.1%,92.0%,93.1%,2.1%,2.1%,2.1%,1.1%,1.1%,2021
8458,BASIS SCOTTSDALE PRIMARY,CHARTER,11440 N 136TH ST,SCOTTSDALE,MARICOPA,85259.0,NO,102,89.2%,88.2%,89.2%,87.3%,88.2%,10.8%,11.8%,10.8%,12.7%,11.8%,2021
8459,BASIS CHANDLER PRIMARY SOUTH CAMPUS,CHARTER,4825 S ARIZONA AVENUE,CHANDLER,MARICOPA,85248.0,NO,97,95.9%,95.9%,96.9%,95.9%,97.9%,4.1%,4.1%,3.1%,4.1%,2.1%,2021
8460,LEGACY TRADITIONAL SCHOOL SURPRISE,CHARTER,14506 W SWEETWATER AVE,SURPRISE,MARICOPA,85379.0,NO,210,91.4%,91.9%,91.4%,94.3%,94.8%,8.6%,7.6%,7.1%,4.3%,5.2%,2021
8461,BASIS PHOENIX SOUTH PRIMARY SCHOOL,CHARTER,5700 S 19TH AVE,PHOENIX,MARICOPA,85041.0,NO,92,87.0%,84.8%,87.0%,90.2%,91.3%,13.0%,12.0%,13.0%,9.8%,8.7%,2021
8462,BASIS - PEORIA PRIMARY,CHARTER,25950 N. LAKE PLEASANT PKWY,PEORIA,MARICOPA,85383.0,NO,125,99.2%,99.2%,98.4%,99.2%,98.4%,0.8%,0.8%,1.6%,0.8%,0.8%,2021
8463,BASIS - SCOTTSDALE PRIMARY WEST CAMPUS,CHARTER,7496 E TIERRA BUENA LANE,SCOTTSDALE,MARICOPA,85260.0,NO,95,86.3%,85.3%,88.4%,90.5%,90.5%,13.7%,14.7%,11.6%,9.5%,9.5%,2021
8464,EMPOWER COLLEGE PREP,CHARTER,2411 W COLTER ST,PHOENIX,MARICOPA,85015.0,NO,64,85.9%,85.9%,73.4%,71.9%,71.9%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8465,CRAGIN ELEMENTARY SCHOOL,PUBLIC,2945 N TUCSON BLVD,TUCSON,PIMA,85716.0,YES,50,94.0%,96.0%,98.0%,98.0%,98.0%,2.0%,2.0%,2.0%,2.0%,2.0%,2021
8466,LEGACY TRADITIONAL SCHOOL - PEORIA,CHARTER,7877 W. HILLCREST BLVD,PEORIA,MARICOPA,85383.0,NO,109,87.2%,87.2%,85.3%,89.9%,88.1%,12.8%,12.8%,14.7%,10.1%,11.9%,2021
8467,LEGACY TRADITIONAL SCHOOL - GLENDALE,PUBLIC,13091 N 67TH AVE,GLENDALE,MARICOPA,85306.0,YES,143,86.7%,88.1%,87.4%,93.0%,93.0%,13.3%,11.9%,12.6%,7.0%,7.0%,2021
8468,LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,CHARTER,1900 N MCQUEEN RD,CHANDLER,MARICOPA,85225.0,NO,131,93.1%,93.1%,93.9%,95.4%,97.7%,6.9%,6.9%,6.1%,4.6%,2.3%,2021
8469,LEGACY TRADITIONAL SCHOOL- EAST MESA,CHARTER,10707 E GUADALUPE RD,MESA,MARICOPA,85212.0,NO,169,92.9%,93.5%,92.3%,93.5%,93.5%,7.1%,6.5%,7.7%,6.5%,6.5%,2021
8470,LEGACY TRADITIONAL SCHOOL - PHOENIX,CHARTER,4545 N 99TH AVE,PHOENIX,MARICOPA,85037.0,NO,204,87.3%,91.7%,88.7%,96.1%,97.1%,12.7%,8.3%,11.3%,3.9%,2.9%,2021
8471,LEGACY TRADITIONAL SCHOOL - CHANDLER,CHARTER,3201 S GILBERT RD,CHANDLER,MARICOPA,85286.0,NO,143,85.3%,85.3%,84.6%,90.9%,90.9%,14.0%,14.0%,14.7%,8.4%,8.4%,2021
8472,BASIS - PHOENIX PRIMARY,CHARTER,11850 N 32ND ST,PHOENIX,MARICOPA,85028.0,NO,118,95.8%,94.9%,94.9%,97.5%,98.3%,4.2%,4.2%,5.1%,2.5%,1.7%,2021
8473,SYCAMORE ELEMENTARY - VAIL,PUBLIC,16701 S HOUGTON RD,VAIL,PIMA,85641.0,NO,120,84.2%,84.2%,84.2%,87.5%,89.2%,15.8%,15.8%,15.8%,12.5%,10.8%,2021
8474,IMAGINE ELEMENTARY SCHOOL AT ROSEFIELD,CHARTER,12050 N BULLARD AVE,SURPRISE,MARICOPA,85379.0,NO,106,92.5%,94.3%,92.5%,93.4%,94.3%,7.5%,5.7%,7.5%,6.6%,5.7%,2021
8475,IMAGINE CHARTER ELEMENTARY SCHOOL AT EAST,CHARTER,9701 E SOUTHERN AVE,MESA,MARICOPA,85209.0,NO,98,90.8%,90.8%,92.9%,93.9%,92.9%,4.1%,4.1%,4.1%,4.1%,4.1%,2021
8476,ARIZONA CONNECTIONS ACADEMY,CHARTER,335 E GERMANN RD,GILBERT,MARICOPA,85297.0,NO,202,79.7%,81.2%,76.7%,81.7%,83.2%,15.8%,15.8%,16.8%,16.3%,15.8%,2021
8477,COUNTRY GARDENS CHARTER SCHOOL,CHARTER,6313 W SOUTHERN AVE,LAVEEN,MARICOPA,85339.0,NO,28,100.0%,100.0%,100.0%,100.0%,96.4%,0.0%,0.0%,0.0%,0.0%,3.6%,2021
8478,PRESCOTT VALLEY SCHOOL,CHARTER,9500 E. LORNA LN,PRESCOTT VALLEY,YAVAPAI,86314.0,NO,67,85.1%,85.1%,85.1%,91.0%,88.1%,14.9%,14.9%,14.9%,9.0%,11.9%,2021
8479,LEGACY TRADITIONAL SCHOOL - MARICOPA,CHARTER,17760 REGENT DR,MARICOPA,PINAL,85138.0,NO,135,91.1%,91.1%,90.4%,91.9%,91.9%,8.1%,8.1%,8.9%,7.4%,7.4%,2021
8480,IMAGINE ELEMENTARY AT DESERT WEST,CHARTER,6738 W MCDOWELL RD,PHOENIX,MARICOPA,85035.0,NO,127,94.5%,94.5%,94.5%,96.9%,98.4%,3.9%,3.9%,3.9%,1.6%,1.6%,2021
8481,CAREER SUCCESS SCHOOL - SAGE CAMPUS,CHARTER,3141 E CHEERY LYNN ROAD,PHOENIX,MARICOPA,85018.0,NO,<20,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2021
8482,ANTHEM PREPARATORY ACADEMY,CHARTER,39808 N GAVILAN PEAK PKWY,ANTHEM,MARICOPA,85086.0,YES,58,89.7%,89.7%,89.7%,94.8%,96.6%,10.3%,10.3%,10.3%,5.2%,3.4%,2021
8483,FREEDOM ACADEMY - E PARADISE LN,CHARTER,3916 E PARADISE LN,PHOENIX,MARICOPA,85032.0,YES,46,76.1%,80.4%,80.4%,78.3%,82.6%,21.7%,19.6%,19.6%,21.7%,17.4%,2021
8484,CONCORDIA CHARTER SCHOOL,CHARTER,142 N DATE ST,MESA,MARICOPA,,NO,<20,93.8%,81.3%,81.3%,81.3%,100.0%,6.3%,6.3%,6.3%,6.3%,0.0%,2021
8485,OCOTILLO RIDGE ELEMENTARY,PUBLIC,10107 S WHITE LIGHTNING LN,VAIL,PIMA,85641.0,NO,96,97.9%,97.9%,97.9%,97.9%,97.9%,2.1%,2.1%,2.1%,2.1%,2.1%,2021
8486,CANDEO SCHOOLS,CHARTER,9965 W CALLE LEJOS,PEORIA,MARICOPA,85383.0,NO,60,85.0%,85.0%,85.0%,85.0%,85.0%,15.0%,15.0%,15.0%,15.0%,15.0%,2021
8487,IMAGINE ELEMENTARY AT AVONDALE,CHARTER,950 N ELISIO C FELIX JR WAY,AVONDALE,MARICOPA,85053.0,NO,81,88.9%,88.9%,88.9%,88.9%,88.9%,11.1%,11.1%,11.1%,11.1%,11.1%,2021
8488,IMAGINE ELEMENTARY AT COOLIDGE,CHARTER,1290 W VAH KI INN RD,COOLIDGE,PINAL,85128.0,NO,130,71.5%,76.9%,70.0%,91.5%,94.6%,3.1%,3.1%,3.1%,3.1%,3.1%,2021
8489,SAN TAN CHARTER SCHOOL,CHARTER,3959 E ELLIOT RD,GILBERT,MARICOPA,85234.0,YES,75,74.7%,74.7%,74.7%,76.0%,76.0%,25.3%,25.3%,25.3%,24.0%,24.0%,2021
8490,SENITA VALLEY ELEMENTARY SCHOOL,PUBLIC,10750 E BILBY RD,TUCSON,PIMA,85747.0,NO,119,98.3%,98.3%,98.3%,98.3%,98.3%,1.7%,1.7%,1.7%,1.7%,1.7%,2021
8491,EAGLE COLLEGE PREP - S MOUNTAIN,CHARTER,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041.0,NO,50,88.0%,86.0%,88.0%,88.0%,92.0%,8.0%,10.0%,10.0%,8.0%,8.0%,2021
8492,PARAGON SCIENCE ACADEMY,CHARTER,2975 W LINDA LN,CHANDLER,MARICOPA,85224.0,NO,38,92.1%,94.7%,86.8%,94.7%,94.7%,7.9%,5.3%,13.2%,5.3%,5.3%,2021
8493,ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,PUBLIC,735 E FILLMORE ST,PHOENIX,MARICOPA,85006.0,YES,74,90.5%,89.2%,90.5%,89.2%,91.9%,1.4%,1.4%,1.4%,1.4%,1.4%,2021
