SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Robins Elementary School,Public,3939 N Magnetite Ln.,Tucson,Pima,85745,N,,63,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,92.10%,0.00%,100%,0.00%,0.00%,0.00%
Robison Elementary School,Public,2745 E 18th St.,Tucson,Pima,85716,Y,RN,40,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,92.50%,0.00%,100%,0.00%,0.00%,0.00%
"Robles Elementary, Avsd",Public,9875 S Sasabe Rd.,Tucson,Pima,85736,Y,RN,61,98.40%,1.60%,100%,98.40%,1.60%,100%,98.40%,1.60%,100%,98.40%,1.60%,100%,88.50%,1.60%,100%,1.60%,0.00%,1.60%
Robson Elementary School,Public,2122 E Pueblo Ave.,Mesa,Maricopa,85204,Y,RN,100,94.00%,3.00%,97.00%,96.00%,3.00%,99.00%,97.00%,3.00%,100%,98.00%,2.00%,100%,87.00%,4.00%,100%,4.00%,0.00%,3.00%
Rogers Ranch School,Public,6735 S 47th Ave.,Laveen,Maricopa,85339,N,,107,98.10%,0.00%,98.10%,99.10%,0.00%,99.10%,100%,0.00%,100%,99.10%,0.00%,99.10%,100%,0.00%,100%,0.00%,0.00%,0.00%
Ronald Reagan School,Public,3200 West 16th St.,Yuma,Yuma,85364,N,,80,98.80%,0.00%,98.80%,98.80%,0.00%,98.80%,97.50%,0.00%,97.50%,98.80%,0.00%,98.80%,88.80%,0.00%,100%,1.30%,0.00%,0.00%
Roosevelt Elementary School (Mesa),Public,828 S Valencia,Mesa,Maricopa,85202,Y,RN,92,92.40%,7.60%,100%,94.60%,5.40%,100%,91.30%,8.70%,100%,95.70%,4.30%,100%,84.80%,0.00%,100%,7.60%,3.30%,0.00%
Roosevelt Elementary School (Yuma),Public,550 W 5th St.,Yuma,Yuma,85364,N,,37,97.30%,2.70%,100%,97.30%,2.70%,100%,97.30%,2.70%,100%,97.30%,2.70%,100%,97.30%,2.70%,100%,2.70%,0.00%,0.00%
Roskruge Bilingual Magnet School,Public,501 E. 6th St.,Tucson,Pima,85705,Y,RN,51,98.00%,0.00%,98.00%,98.00%,0.00%,98.00%,100%,0.00%,100%,100%,0.00%,100%,96.10%,0.00%,100%,0.00%,0.00%,0.00%
Rough Rock Community Schools,Public,Hc 61 Box 5050-ptt,Chinle,Apache,86503,Y,RN,37,75.70%,0.00%,75.70%,78.40%,0.00%,78.40%,78.40%,0.00%,78.40%,86.50%,0.00%,86.50%,78.40%,0.00%,86.50%,0.00%,0.00%,0.00%
Round Valley Elementary,Public,P.O. Box 610,Springerville,Apache,85936,N,,111,90.10%,4.50%,94.60%,89.20%,4.50%,93.70%,89.20%,6.30%,95.50%,91.90%,5.40%,97.30%,87.40%,5.40%,100%,3.60%,2.70%,3.60%
Rover Elementary School,Public,1300 E Watson Dr.,Tempe,Maricopa,85283,Y,RN,93,94.60%,5.40%,100%,94.60%,5.40%,100%,94.60%,5.40%,100%,93.50%,6.50%,100%,94.60%,5.40%,100%,6.50%,0.00%,5.40%
Rudy G Bologna Elementary School ,Public,1625 East Frye Rd.,Chandler,Maricopa,85225,N,,70,100%,0.00%,100%,100%,0.00%,100%,98.60%,0.00%,98.60%,100%,0.00%,100%,94.30%,0.00%,100%,0.00%,0.00%,0.00%
Ruth Fisher Elementary School,Public,38201 W Indian School Rd.,Tonopah,Maricopa,85354,N,,64,92.20%,1.60%,93.80%,89.10%,1.60%,90.60%,90.60%,1.60%,92.20%,95.30%,1.60%,96.90%,75.00%,1.60%,100%,1.60%,0.00%,1.60%
Ruth Powell School,Public,714 11th Ave.,Safford,Graham,85546,Y,RN,75,94.70%,1.30%,96.00%,94.70%,1.30%,96.00%,94.70%,2.70%,97.30%,93.30%,1.30%,94.70%,94.70%,1.30%,100%,1.30%,1.30%,1.30%
Sabis International School,Charter,1903 East Roeser Rd.,Phoenix,Maricopa,85040,Y,RN,108,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,94.40%,0.00%,100%,0.00%,0.00%,0.00%
Sacaton Elementary School,Public,150 Skill Center Rd. ,Sacaton,Pinal,85247,Y,RN,68,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Sacred Heart Catholic School,Private,207 W. Oak St.,Nogales,Santa Cruz,85621,N,,22,95.50%,0.00%,95.50%,95.50%,0.00%,95.50%,95.50%,0.00%,95.50%,95.50%,0.00%,95.50%,95.50%,0.00%,95.50%,0.00%,0.00%,0.00%
Sacred Heart Elementary School,Private,131 N Summit Ave.,Prescott,Yavapai,86301,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saddleback Elementary School,Public,18600 North Porter Rd.,Maricopa,Pinal,85138,Y,RN,68,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,95.60%,1.50%,100%,1.50%,0.00%,0.00%
Safford Elementary School,Public,200 E 13th St.,Tucson,Pima,85701,Y,RN,33,100%,0.00%,100%,97.00%,3.00%,100%,100%,0.00%,100%,97.00%,3.00%,100%,90.90%,0.00%,100%,3.00%,0.00%,0.00%
Sage Academy Charter School,Charter,1055 E Hearn Rd.,Phoenix,Maricopa,85022,N,,39,69.20%,30.80%,100%,79.50%,20.50%,100%,66.70%,33.30%,100%,82.10%,17.90%,100%,61.50%,20.50%,100%,33.30%,0.00%,17.90%
Saguaro Elementary School,Public,1501 N Center Ave.,Casa Grande,Pinal,85222,Y,RN,83,94.00%,2.40%,96.40%,96.40%,2.40%,98.80%,96.40%,2.40%,98.80%,98.80%,1.20%,100%,92.80%,0.00%,100%,2.40%,0.00%,2.40%
Saguaro Hills S.d.a. Christian School,Private,4280 W. Irvington Rd.,Tucson,Pima,85746,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sahuarita Primary School,Public,350 W Sahuarita Rd.,Sahuarita,Pima,85629,N,,214,97.20%,1.40%,98.60%,97.70%,0.90%,98.60%,98.10%,0.90%,99.10%,98.10%,0.90%,99.10%,88.80%,1.40%,100%,1.40%,0.50%,0.90%
Sahuaro Elementary School,Public,12835 N 33rd Ave.,Phoenix,Maricopa,85029,N,,93,97.80%,0.00%,97.80%,98.90%,0.00%,98.90%,100%,0.00%,100%,98.90%,0.00%,98.90%,95.70%,0.00%,100%,0.00%,0.00%,0.00%
Sahuaro Ranch Elementary School,Public,10401 N 63rd Ave.,Glendale,Maricopa,85302,Y,RN,44,95.50%,2.30%,97.70%,97.70%,2.30%,100%,95.50%,2.30%,97.70%,95.50%,2.30%,97.70%,97.70%,2.30%,100%,2.30%,0.00%,2.30%
Saint (St)  Ambrose Elementary And Junior High,Private,300 S Tucson Blvd.,Tucson,Pima,85716,N,,37,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Saint (St)  Andrew's Kindergarten,Private,7650 N Paseo Del Norte,Tucson,Pima,85704,N,,35,97.10%,2.90%,100%,97.10%,2.90%,100%,94.30%,5.70%,100%,85.70%,14.30%,100%,82.90%,2.90%,100%,20.00%,0.00%,0.00%
Saint (St)  Anthony Catholic School,Private,1400 E Owens,Show Low,Navajo,85901,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint (St)  Anthony Of Padua Catholic School,Private,501 E 2nd St.,Casa Grande,Pinal,85122,N,,23,91.30%,8.70%,100%,91.30%,8.70%,100%,91.30%,8.70%,100%,91.30%,8.70%,100%,91.30%,8.70%,100%,8.70%,0.00%,8.70%
Saint (St)  Catherine Of Siena,Private,6413 S. Central Ave.,Phoenix,Maricopa,85042,N,,23,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,95.70%,0.00%,100%,0.00%,0.00%,0.00%
Saint (St)  Cyril Of Alexandria,Private,4725 E. Pima St.,Tucson,Pima,85712,N,,30,96.70%,3.30%,100%,96.70%,3.30%,100%,96.70%,3.30%,100%,96.70%,3.30%,100%,93.30%,3.30%,100%,3.30%,0.00%,3.30%
Saint (St)  David Elementary School,Public,P.O. Box 70,Saint David,Cochise,85630,Y,RN,27,96.30%,0.00%,96.30%,100%,0.00%,100%,96.30%,0.00%,96.30%,100%,0.00%,100%,96.30%,0.00%,100%,0.00%,0.00%,0.00%
Saint (St)  Elizabeth Ann Seton School,Private,8650 N Shannon Rd.,Tucson,Pima,85742,N,,33,97.00%,3.00%,100%,100%,0.00%,100%,97.00%,3.00%,100%,90.90%,9.10%,100%,87.90%,3.00%,100%,3.00%,0.00%,0.00%
"Saint (St)  Francis Of Assisi Of Yuma, Arizona",Private,700 W 18th St.,Yuma,Yuma,85364,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint (St)  Francis Xavier School,Private,4715 N Central Ave.,Phoenix,Maricopa,85012,Y,RN,38,97.40%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,92.10%,2.60%,100%,2.60%,0.00%,2.60%
Saint (St)  Gregory Catholic School,Private,3440 N. 18th Ave.,Phoenix,Maricopa,85015,N,,33,100%,0.00%,100%,100%,0.00%,100%,69.70%,0.00%,69.70%,100%,0.00%,100%,66.70%,0.00%,100%,0.00%,0.00%,0.00%
Saint (St)  Jerome Catholic School,Private,10815 N. 35th Ave.,Phoenix,Maricopa,85029,Y,RN,22,95.50%,4.50%,100%,95.50%,4.50%,100%,95.50%,4.50%,100%,95.50%,4.50%,100%,90.90%,0.00%,100%,4.50%,0.00%,4.50%
Saint (St)  John Bosco Catholic School,Private,16035 S. 48th St.,Phoenix,Maricopa,85048,Y,RN,35,94.30%,5.70%,100%,94.30%,5.70%,100%,94.30%,5.70%,100%,94.30%,5.70%,100%,94.30%,5.70%,100%,5.70%,0.00%,5.70%
Saint (St)  John The Evangelist Catholic Elementary School,Private,600 W. Ajo Way,Tucson,Pima,85713,Y,RN,40,97.50%,0.00%,97.50%,100%,0.00%,100%,95.00%,2.50%,97.50%,100%,0.00%,100%,95.00%,2.50%,100%,2.50%,0.00%,2.50%
Saint (St)  John Vianney Catholic School,Private,509 La Pasada Blvd.,Goodyear,Maricopa,85338,N,,43,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Saint (St)  John Xxiii Catholic School,Private,16235 N. 60th St.,Scottsdale,Maricopa,85254,Y,RN,69,95.70%,4.30%,100%,95.70%,4.30%,100%,95.70%,4.30%,100%,95.70%,4.30%,100%,87.00%,4.30%,100%,4.30%,0.00%,4.30%
Saint (St)  Joseph Catholic School,Private,215 S. Craycroft Rd.,Tucson,Pima,85711,N,,34,97.10%,2.90%,100%,97.10%,2.90%,100%,97.10%,2.90%,100%,97.10%,2.90%,100%,97.10%,2.90%,100%,2.90%,2.90%,2.90%
Saint (St)  Louis The King Roman Catholic School,Private,4331 W Maryland Ave.,Glendale,Maricopa,85301,N,,22,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,95.50%,0.00%,95.50%,0.00%,0.00%,0.00%
Saint (St)  Maria Goretti,Private,6261 N. Granite Reef Rd.,Scottsdale,Maricopa,85250,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint (St)  Mark's Early Childhood Center,Private,1431 W. Magee Rd.,Tucson,Pima,85704,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint (St)  Mark's Preschool & Kindergarten,Private,3809 E. Third St.,Tucson,Pima,85716,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint (St)  Mary Basha Catholic School,Private,200 W. Galveston St.,Chandler,Maricopa,85222,Y,RN,42,95.20%,2.40%,97.60%,95.20%,2.40%,97.60%,95.20%,4.80%,100%,95.20%,2.40%,97.60%,92.90%,4.80%,100%,4.80%,0.00%,2.40%
Saint (St)  Matthew Catholic School,Private,320 N 20th Dr.,Phoenix,Maricopa,85009,N,,22,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Saint (St)  Michaels Indian School,Private,P.O. Box 650,Saint Michaels,Apache,86511,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint (St)  Michael's Parish Day School,Private,602 N. Wilmot Rd. ,Tucson,Pima,85711,Y,RN,34,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,97.10%,2.90%,100%,91.20%,0.00%,100%,2.90%,0.00%,0.00%
Saint (St)  Peter's Episcopal Montessori School,Private,400 South Old Litchfield Rd.,Litchfield Park,Maricopa,85340,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint (St)  Peters Indian Mission Catholic School,Private,1500 N. St. Peters Rd.,Bapchule,Pinal,85121,Y,RN,22,90.90%,0.00%,90.90%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,90.90%,0.00%,100%,0.00%,0.00%,0.00%
Saint (St)  Theresa School,Private,5001 E Thomas Rd.,Phoenix,Maricopa,85018,N,,31,93.50%,6.50%,100%,93.50%,6.50%,100%,93.50%,6.50%,100%,93.50%,6.50%,100%,93.50%,6.50%,100%,3.20%,3.20%,6.50%
Saint (St)  Thomas Aquinas Grade School,Private,13720 W. Thomas Rd.,Avondale,Maricopa,85392,Y,RN,44,93.20%,6.80%,100%,93.20%,6.80%,100%,95.50%,4.50%,100%,93.20%,6.80%,100%,86.40%,4.50%,100%,6.80%,0.00%,6.80%
Saint (St)  Thomas Preschool And Kindergarten,Private,5150 Valley View Rd.,Tucson,Pima,85718,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint (St)  Thomas The Apostle Roman Catholic School,Private,4510 N 24th St.,Phoenix,Maricopa,85016,Y,RN,44,90.90%,9.10%,100%,90.90%,9.10%,100%,93.20%,6.80%,100%,88.60%,11.40%,100%,88.60%,6.80%,100%,11.40%,0.00%,4.50%
Saint (St)  Timothy Catholic School,Private,1510 S. Alma School Rd.,Mesa,Maricopa,85210,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint (St)  Vincent De Paul School,Private,3130 N 51st Ave.,Phoenix,Maricopa,85031,N,,55,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Saint (St) Agnes Catholic School,Private,2311 E. Palm Ln.,Phoenix,Maricopa,85006,N,,24,100%,0.00%,100%,100%,0.00%,100%,79.20%,0.00%,79.20%,100%,0.00%,100%,79.20%,0.00%,100%,0.00%,0.00%,0.00%
Saint (St) Peter And Paul Catholic School,Private,1946 E. Lee St.,Tucson,Pima,85719,Y,RN,38,97.40%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,97.40%,2.60%,100%,84.20%,2.60%,100%,2.60%,0.00%,2.60%
Salida Del Sol Elementary School,Public,910 S. Avenue C,Yuma,Yuma,85364,N,,92,100%,0.00%,100%,97.80%,0.00%,97.80%,97.80%,0.00%,97.80%,96.70%,0.00%,96.70%,71.70%,0.00%,97.80%,0.00%,0.00%,0.00%
Salk Elementary School,Public,7029 E Brown Rd.,Mesa,Maricopa,85207,Y,RN,82,98.80%,1.20%,100%,98.80%,1.20%,100%,98.80%,1.20%,100%,98.80%,1.20%,100%,85.40%,0.00%,100%,2.40%,0.00%,2.40%
Salome Elementary School,Public,38128 Saguard St. ,Salome,La Paz,85348,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Salt River Elementary School,Private,"10,005 E Osborn Rd",Scottsdale,Maricopa,85256,Y,RN,48,95.80%,2.10%,97.90%,95.80%,2.10%,97.90%,93.80%,4.20%,97.90%,97.90%,2.10%,100%,89.60%,2.10%,100%,2.10%,2.10%,2.10%
Sam Hughes Elementary School,Public,700 N Wilson Ave.,Tucson,Pima,85719,Y,RN,54,98.10%,0.00%,98.10%,96.30%,0.00%,96.30%,100%,0.00%,100%,96.30%,0.00%,96.30%,96.30%,0.00%,100%,0.00%,0.00%,0.00%
San Carlos Elementary,Public,San Carlos Ave And Yavapai St Ne,San Carlos,Gila,85550,Y,RN,144,99.30%,0.00%,99.30%,100%,0.00%,100%,98.60%,0.00%,98.60%,100%,0.00%,100%,96.50%,0.00%,100%,0.00%,0.00%,0.00%
San Cayetano Elementary School,Public,1412 W Frontage Rd.,Rio Rico,Santa Cruz,85648,Y,RN,82,100%,0.00%,100%,98.80%,0.00%,98.80%,100%,0.00%,100%,100%,0.00%,100%,93.90%,0.00%,100%,0.00%,0.00%,0.00%
San Francisco De Asis,Private,320 N. Humphreys St. ,Flagstaff,Coconino,86001,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
San Marcos Elementary,Public,451 West Frye Rd.,Chandler,Maricopa,85225,N,,62,87.10%,12.90%,100%,87.10%,12.90%,100%,85.50%,14.50%,100%,95.20%,4.80%,100%,80.60%,4.80%,100%,12.90%,0.00%,1.60%
San Simon School,Public,P.O. Box 38,San Simon,Cochise,85632,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
San Tan Charter School,Charter,3959 E. Elliot Rd.,Gilbert,Maricopa,85234,N,,81,74.10%,17.30%,91.40%,76.50%,14.80%,91.40%,79.00%,14.80%,93.80%,80.20%,17.30%,97.50%,67.90%,14.80%,100%,17.30%,0.00%,14.80%
San Tan Elementary,Public,3443 E Calistoga Dr.,Gilbert,Maricopa,85297,N,,83,96.40%,3.60%,100%,96.40%,3.60%,100%,96.40%,3.60%,100%,96.40%,3.60%,100%,96.40%,2.40%,100%,3.60%,0.00%,3.60%
San Tan Heights Elementary,Public,2500 W San Tan Heights Blvd.,San Tan Valley,Pinal,85142,Y,RN,69,100%,0.00%,100%,95.70%,0.00%,95.70%,98.60%,0.00%,98.60%,95.70%,0.00%,95.70%,82.60%,0.00%,98.60%,0.00%,0.00%,0.00%
San Xavier Mission School,Private,1980 W San Xavier Rd.,Tucson,Pima,85746,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sanborn Elementary,Public,700 North Superstition Blvd.,Chandler,Maricopa,85225,N,,68,97.10%,2.90%,100%,97.10%,2.90%,100%,97.10%,2.90%,100%,97.10%,2.90%,100%,92.60%,2.90%,100%,2.90%,0.00%,2.90%
Sanders School District,Public,P.O. Box 250,Sanders,Navajo,86512,Y,RN,46,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,93.50%,0.00%,100%,0.00%,0.00%,0.00%
Sandpiper Elementary School,Public,6724 E. Hearn Rd.,Scottsdale,Maricopa,85254,Y,RN,98,93.90%,6.10%,100%,93.90%,6.10%,100%,93.90%,6.10%,100%,93.90%,6.10%,100%,90.80%,6.10%,100%,6.10%,0.00%,6.10%
Sandra Day O'connor Elementary School,Public,4840 E Adobe St. ,Mesa,Maricopa,85205,Y,RN,69,95.70%,4.30%,100%,95.70%,4.30%,100%,97.10%,2.90%,100%,97.10%,2.90%,100%,92.80%,2.90%,100%,4.30%,0.00%,2.90%
Santa Clara Elementary,Public,6910 S Santa Clara Ave.,Tucson,Pima,85756,Y,RN,85,98.80%,0.00%,98.80%,100%,0.00%,100%,97.60%,0.00%,97.60%,100%,0.00%,100%,94.10%,0.00%,100%,0.00%,0.00%,0.00%
Santa Cruz Catholic School,Private,29 W. 22nd St.,Tucson,Pima,85713,Y,RN,25,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Santa Cruz Elementary,Public,19845 N Costa Del Sol Blvd. ,Maricopa,Pinal,85239,N,,59,93.20%,5.10%,98.30%,94.90%,3.40%,98.30%,94.90%,5.10%,100%,96.60%,3.40%,100%,86.40%,5.10%,100%,5.10%,0.00%,3.40%
Santa Fe Elementary School,Public,9880 N 77th Ave.,Peoria,Maricopa,85345,Y,LPN,83,94.00%,6.00%,100%,94.00%,6.00%,100%,92.80%,7.20%,100%,94.00%,6.00%,100%,81.90%,3.60%,100%,7.20%,0.00%,3.60%
Santa Rosa Elementary School,Public,21400 N Santa Rosa Dr.,Maricopa,Pinal,85239,Y,RN,64,96.90%,0.00%,96.90%,96.90%,0.00%,96.90%,98.40%,0.00%,98.40%,100%,0.00%,100%,82.80%,0.00%,100%,0.00%,0.00%,0.00%
Santan Elementary,Public,1550 East Chandler Heights Rd.,Chandler,Maricopa,85248,N,,79,98.70%,1.30%,100%,98.70%,1.30%,100%,98.70%,1.30%,100%,98.70%,1.30%,100%,98.70%,1.30%,100%,1.30%,0.00%,0.00%
Sarah Marley School,Public,735 7th St.,Douglas,Cochise,85607,Y,RN,34,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,97.10%,0.00%,100%,0.00%,0.00%,0.00%
Satori Private School,Private,3801 N. 1st Ave.,Tucson,Pima,85719,N,,21,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Scales Technology Academy,Public,1115 W 5th St.,Tempe,Maricopa,85281,Y,RN,66,97.00%,1.50%,98.50%,95.50%,3.00%,98.50%,95.50%,3.00%,98.50%,97.00%,3.00%,100%,89.40%,1.50%,100%,4.50%,0.00%,1.50%
Scott Libby Elementary School ,Public,272 E. Sagebrush St. ,Litchfield Park,Maricopa,85340,Y,LPN,80,91.30%,8.80%,100%,91.30%,8.80%,100%,90.00%,8.80%,98.80%,90.00%,8.80%,98.80%,80.00%,11.30%,100%,8.80%,0.00%,0.00%
Scottsdale Christian Academy,Private,14400 N. Tatum Blvd.,Phoenix,Maricopa,85032,Y,RN,60,88.30%,11.70%,100%,86.70%,13.30%,100%,83.30%,16.70%,100%,86.70%,13.30%,100%,66.70%,6.70%,100%,25.00%,0.00%,25.00%
Second Mesa Day School,Private,P.O. Box 98,Second Mesa,Navajo,86043,N,,44,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Sedona Charter School,Charter,165 Kachina Dr. ,Sedona,Yavapai,86336,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Self Development Academy,Charter,1709 North Greenfield Rd. ,Mesa,Maricopa,85205,N,,69,94.20%,4.30%,98.60%,95.70%,4.30%,100%,92.80%,4.30%,97.10%,95.70%,4.30%,100%,92.80%,4.30%,100%,4.30%,0.00%,0.00%
Self Development Academy-phoenix,Charter,1515 East Indian School Rd.,Phoenix,Maricopa,85014,N,,38,92.10%,2.60%,94.70%,92.10%,2.60%,94.70%,92.10%,2.60%,94.70%,92.10%,2.60%,94.70%,92.10%,2.60%,100%,2.60%,0.00%,0.00%
Seligman Elementary School,Public,500 N Main St.,Seligman,Yavapai,86337,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Senita Valley Elementary,Public,10750 E Bibly Rd.,Tucson,Pima,85747,N,,112,94.60%,5.40%,100%,94.60%,5.40%,100%,94.60%,5.40%,100%,96.40%,3.60%,100%,92.90%,5.40%,100%,5.40%,0.00%,4.50%
Sentinel Elementary School,Public,53802 W. Hwy 80,Dateland,Maricopa,85333,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sequoia Charter Elementary School,Charter,1460 S. Horne St.,Mesa,Maricopa,85204,N,,64,95.30%,1.60%,96.90%,98.40%,1.60%,100%,98.40%,1.60%,100%,98.40%,1.60%,100%,98.40%,1.60%,100%,1.60%,0.00%,0.00%
Sequoia Choice Az Distance Learning,Charter,323 N. Gilbert Rd. Ste. 104,Mesa,Maricopa,85225,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sequoia Pathway Academy,Charter,19265 N Porter Rd.,Maricopa,Pinal,85138,N,,76,94.70%,5.30%,100%,94.70%,5.30%,100%,94.70%,5.30%,100%,94.70%,5.30%,100%,94.70%,5.30%,100%,5.30%,0.00%,5.30%
Sequoia Village School,Charter,982 Full House Ln.,Show Low,Navajo,85901,N,,38,94.70%,5.30%,100%,94.70%,5.30%,100%,89.50%,10.50%,100%,100%,0.00%,100%,76.30%,2.60%,100%,5.30%,5.30%,0.00%
Sequoya Elementary School,Public,11808 N 64th St.,Scottsdale,Maricopa,85254,Y,RN,83,95.20%,4.80%,100%,92.80%,7.20%,100%,92.80%,7.20%,100%,94.00%,6.00%,100%,94.00%,6.00%,100%,7.20%,0.00%,7.20%
Settlers Point Elementary,Public,423 E Settlers Point,Gilbert,Maricopa,85296,N,,67,92.50%,7.50%,100%,94.00%,6.00%,100%,94.00%,6.00%,100%,94.00%,6.00%,100%,82.10%,6.00%,100%,7.50%,1.50%,6.00%
Sevilla Primary,Public,3801 W. Missouri Ave. ,Phoenix,Maricopa,85019,N,,208,99.00%,0.00%,99.00%,100%,0.00%,100%,98.60%,0.00%,98.60%,99.50%,0.00%,99.50%,63.50%,0.00%,100%,0.00%,0.00%,0.00%
Sharp,Public,7302 E. Adobe St.,Mesa,Maricopa,85207,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
