SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
ROBINS ELEMENTARY SCHOOL,3939 N MAGNETITE LN,TUCSON,PIMA,85745,YES,RN,PUBLIC,46,96%,2%,98%,98%,2%,100%,98%,2%,100%,96%,4%,100%,98%,2%,100%,96%,4%,100%,100%,0%,100%,4%,0%,2%
ROBSON ELEMENTARY SCHOOL,2122 E PUEBLO AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,89,97%,3%,100%,96%,3%,100%,94%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,98%,2%,100%,3%,0%,3%
ROGERS RANCH SCHOOL,6735 S 47TH AVE,LAVEEN,MARICOPA,85339,NO,,PUBLIC,131,99%,1%,100%,92%,3%,97%,92%,4%,97%,98%,1%,99%,98%,1%,99%,99%,1%,100%,100%,0%,100%,5%,0%,0%
RON WATSON MIDDLE SCHOOL,9851 E 28TH ST,YUMA,YUMA,85365,YES,RN,PUBLIC,167,100%,0%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,1%,0%,1%
RONALD REAGAN FUNDAMENTAL SCHOOL,3200 W 16TH ST,YUMA,YUMA,85364,YES,Both,PUBLIC,102,98%,2%,100%,99%,0%,99%,99%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,2%
ROOSEVELT ELEMENTARY SCHOOL,828 S VALENCIA,MESA,MARICOPA,85202,YES,RN,PUBLIC,73,100%,0%,100%,95%,3%,100%,96%,3%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,3%,3%,0%
ROSKRUGE BILINGUAL K-8 SCHOOL,501 E 6TH ST,TUCSON,PIMA,,YES,RN,PUBLIC,106,100%,0%,100%,98%,0%,100%,97%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
ROUND VALLEY MIDDLE SCHOOL,126 W 2ND ST,EAGAR,APACHE,85925,NO,,PUBLIC,110,96%,2%,99%,88%,5%,94%,86%,5%,92%,95%,2%,96%,95%,4%,100%,97%,2%,100%,96%,2%,98%,8%,2%,2%
ROYAL PALM MIDDLE SCHOOL,8520 N 19TH AVE,PHOENIX,MARICOPA,85021,NO,,PUBLIC,227,98%,1%,100%,98%,1%,100%,98%,1%,100%,98%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,2%,0%,1%
RUDY G BOLOGNA ELEMENTARY,1625 E FRY RD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,86,95%,5%,100%,88%,10%,100%,90%,9%,100%,95%,5%,100%,95%,5%,100%,97%,3%,100%,97%,3%,100%,13%,0%,3%
RUTH FISHER ELEMENTARY SCHOOL,38201 W INDIAN SCHOOL RD,TONOPAH,MARICOPA,85354,NO,,PUBLIC,93,94%,3%,97%,94%,3%,97%,15%,3%,18%,94%,3%,97%,94%,3%,97%,94%,3%,97%,92%,3%,96%,3%,1%,3%
RUTH POWELL ELEMENTARY SCHOOL,1041 S 14TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,74,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SACATON MIDDLE SCHOOL,SKILL CENTER RD,SACATON,PINAL,85247,YES,RN,PUBLIC,59,98%,0%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SACRED HEART CATHOLIC SCHOOL,207 W OAK ST,NOGALES,SANTA CRUZ,85621,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SACRED HEART ELEMENTARY SCHOOL,131 N SUMMIT AVE,PRESCOTT,YAVAPAI,86301,YES,RN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAFFORD ELEMENTARY SCHOOL,200 E 13TH ST,TUCSON,PIMA,,YES,RN,PUBLIC,125,98%,0%,98%,84%,0%,84%,81%,0%,81%,99%,0%,99%,99%,0%,99%,99%,0%,99%,99%,0%,99%,2%,1%,0%
SAHUARITA MIDDLE SCHOOL,350 W SAHUARITA RD,SAHUARITA,PIMA,85629,YES,RN,PUBLIC,279,100%,0%,100%,95%,2%,97%,95%,2%,97%,99%,1%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,1%,1%,1%
SAHUARO RANCH ELEMENTARY SCHOOL,10401 N 63RD AVE,GLENDALE,MARICOPA,85302,YES,RN,PUBLIC,84,98%,1%,99%,80%,0%,80%,79%,1%,80%,99%,1%,100%,98%,1%,99%,96%,1%,98%,99%,1%,100%,1%,0%,0%
SAHUARO SCHOOL,12835 N 33RD AVE,PHOENIX,MARICOPA,85029,NO,,PUBLIC,90,98%,2%,100%,98%,2%,100%,97%,2%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,98%,2%,100%,2%,0%,2%
SAINT AGNES CATHOLIC SCHOOL,2311 E PALM LN,PHOENIX,MARICOPA,85006,NO,,PRIVATE,24,100%,0%,100%,100%,0%,100%,13%,0%,100%,96%,0%,96%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAINT AMBROSE SCHOOL,300 S TUCSON BLVD,TUCSON,PIMA,85716,YES,RN,PRIVATE,28,100%,0%,100%,93%,4%,96%,89%,4%,93%,100%,0%,100%,96%,0%,96%,96%,0%,96%,96%,0%,96%,4%,4%,0%
SAINT ANTHONY CATHOLIC SCHOOL,1400 E OWENS,SHOW LOW,NAVAJO,85901,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT ANTHONY OF PADUA ELMENTARY SCHOOL,501 E 2ND ST,CASA GRANDE,PINAL,85122,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT CATHERINE OF SIENA SCHOOL,6413 S CENTRAL AVE,PHOENIX,MARICOPA,85042,NO,,PRIVATE,30,100%,0%,100%,77%,0%,83%,70%,0%,77%,100%,0%,100%,97%,0%,97%,97%,0%,97%,100%,0%,100%,0%,0%,0%
SAINT CYRIL OF ALEXANDRIA SCHOOL,4725 E PIMA ST,TUCSON,PIMA,85712,NO,,PRIVATE,43,100%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAINT ELIZABETH ANN SETON SCHOOL,8650 N SHANNON RD,TUCSON,PIMA,85742,YES,RN,PRIVATE,35,100%,0%,100%,97%,3%,100%,97%,3%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,3%,0%,0%
SAINT FRANCIS XAVIER SCHOOL,4715 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,77,94%,6%,100%,94%,6%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,6%,0%,5%
SAINT GREGORY SCHOOL,3440 N 18TH AVE,PHOENIX,MARICOPA,85015,YES,LPN,PRIVATE,38,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
SAINT JEROME CATHOLIC SCHOOL,10815 N 35TH AVE,PHOENIX,MARICOPA,85029,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT JOHN THE EVANGELIST SCHOOL,600 W AJO WAY,TUCSON,PIMA,85713,NO,,PRIVATE,51,100%,0%,100%,92%,2%,94%,92%,2%,94%,98%,2%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,4%,0%,0%
SAINT JOHN VIANNEY CATHOLIC SCHOOL,539 LA PASADA BLVD,GOODYEAR,MARICOPA,,NO,,PRIVATE,41,100%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAINT JOHN XXIII CATHOLIC SCHOOL,16235 N 60TH ST,SCOTTSDALE,MARICOPA,85254,YES,RN,PRIVATE,71,97%,3%,100%,86%,14%,100%,87%,13%,100%,97%,3%,100%,97%,3%,100%,96%,4%,100%,97%,3%,100%,17%,0%,3%
SAINT JOHNS MIDDLE SCHOOL,555 W 7TH SOUTH,SAINT JOHNS,APACHE,,NO,,PUBLIC,75,93%,7%,100%,91%,9%,100%,88%,12%,100%,92%,8%,100%,93%,7%,100%,93%,7%,100%,93%,7%,100%,13%,0%,1%
SAINT JOSEPH CATHOLIC SCHOOL,215 S CRAYCROFT RD,TUCSON,PIMA,85711,NO,,PRIVATE,24,92%,8%,100%,88%,8%,100%,88%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,88%,13%,100%,8%,8%,8%
SAINT LOUIS THE KING SCHOOL,4331 W MARYLAND AVE,GLENDALE,MARICOPA,85301,NO,,PRIVATE,26,100%,0%,100%,96%,0%,100%,96%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,4%,0%
SAINT MARY-BASHA CATHOLIC SCHOOL,200 W GALVESTON ST,CHANDLER,MARICOPA,85225,YES,RN,PRIVATE,53,100%,0%,100%,98%,0%,98%,98%,0%,98%,100%,0%,100%,98%,2%,100%,100%,0%,100%,94%,2%,96%,4%,0%,0%
SAINT MICHAEL INDIAN SCHOOL,,SAINT MICHAELS,APACHE,,YES,RN,PRIVATE,28,100%,0%,100%,61%,4%,64%,29%,0%,32%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAINT MICHAEL'S PARISH DAY SCHOOL,602 N WILMOT RD,TUCSON,PIMA,85711,YES,RN,PRIVATE,36,100%,0%,100%,97%,3%,100%,94%,6%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,6%,6%,0%
SAINT PETER INDIAN MISSION SCHOOL,1500 N ST PETER RD,BAPCHULE,PINAL,,YES,RN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT PETER'S EPISCOPAL MONTESSORI SCHOOL,400 S OLD LITCHFIELD RD,LITCHFIELD PARK,MARICOPA,85340,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT THERESA CATHOLIC SCHOOL,5001 E THOMAS RD,PHOENIX,MARICOPA,85018,YES,RN,PRIVATE,35,91%,9%,100%,91%,9%,100%,89%,11%,100%,91%,9%,100%,91%,9%,100%,91%,9%,100%,91%,9%,100%,0%,9%,0%
SAINT THOMAS AQUINAS GRADE SCHOOL,13720 W THOMAS RD,AVONDALE,MARICOPA,85392,NO,,PRIVATE,51,100%,0%,100%,84%,12%,100%,86%,10%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,12%,0%,0%
SAINT THOMAS THE APOSTLE CATHOLIC SCHOOL,4510 N 24TH ST,PHOENIX,MARICOPA,85016,YES,RN,PRIVATE,58,95%,5%,100%,97%,3%,100%,97%,3%,100%,95%,5%,100%,93%,7%,100%,95%,5%,100%,95%,5%,100%,7%,0%,3%
SAINT TIMOTHY CATHOLIC SCHOOL,2520 S ALMA SCHOOL RD,MESA,MARICOPA,85210,YES,RN,PRIVATE,22,91%,9%,100%,100%,0%,100%,95%,5%,100%,91%,9%,100%,91%,9%,100%,95%,5%,100%,95%,5%,100%,9%,0%,9%
SAINT VINCENT DE PAUL CATHOLIC SCHOOL,3130 N 51ST AVE,PHOENIX,MARICOPA,85031,NO,,PRIVATE,60,100%,0%,100%,100%,0%,100%,58%,0%,58%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAINTS PETER & PAUL CATHOLIC SCHOOL,1436 N CAMPBELL AVE,TUCSON,PIMA,85719,YES,RN,PRIVATE,53,100%,0%,100%,100%,0%,100%,96%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAINTS SIMON AND JUDE SCHOOL,6351 N 27TH AVE,PHOENIX,MARICOPA,85017,YES,RN,PRIVATE,55,98%,2%,100%,95%,5%,100%,93%,7%,100%,96%,4%,100%,96%,4%,100%,98%,2%,100%,98%,2%,100%,7%,0%,4%
SALK ELEMENTARY SCHOOL,7029 E BROWN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,82,98%,2%,100%,96%,4%,100%,96%,4%,100%,98%,2%,100%,96%,4%,100%,98%,2%,100%,100%,0%,100%,6%,0%,1%
SALOME ELEMENTARY SCHOOL,SAGUARO ST AND MAIN ST,SALOME,LA PAZ,,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SALT RIVER ELEMENTARY SCHOOL,11582 E HIGHLAND RD,SCOTTSDALE,MARICOPA,85256,YES,LPN,PRIVATE,45,100%,0%,100%,89%,2%,91%,89%,2%,91%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
SAN CARLOS INTERMEDIATE,SAN CARLOS AVE & YAVAPAI ST NE,SAN CARLOS,GILA,,NO,,PUBLIC,115,100%,0%,100%,97%,0%,97%,97%,0%,97%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAN FERNANDO ELEMENTARY SCHOOL,1 SCHOOLHOUSE DR,SASABE,PIMA,85633,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAN FRANCISCO DE ASIS CATHOLIC SCHOOL,1600 E RTE 66,FLAGSTAFF,COCONINO,86001,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAN MARCOS ELEMENTARY SCHOOL,451 W FRYE RD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,53,100%,0%,100%,94%,6%,100%,89%,8%,100%,100%,0%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,4%,0%,0%
SAN SIMON SCHOOL,INTERSTATE 10 BUSINESS LOOP,SAN SIMON,COCHISE,85632,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAN TAN CHARTER SCHOOL,3959 E ELLIOT RD,GILBERT,MARICOPA,85234,YES,LPN,CHARTER,78,87%,9%,100%,87%,10%,97%,44%,10%,54%,83%,10%,100%,86%,10%,100%,87%,10%,100%,86%,10%,96%,9%,0%,9%
SAN TAN ELEMENTARY,3443 E CALISTOGA DR,GILBERT,MARICOPA,85297,NO,,PUBLIC,116,98%,2%,100%,96%,2%,100%,96%,2%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,2%,0%,1%
SAN TAN HEIGHTS ELEMENTARY,2500 W SAN TAN HEIGHTS BLVD,QUEEN CREEK,PINAL,85142,YES,RN,PUBLIC,97,94%,0%,94%,70%,0%,70%,70%,0%,70%,94%,0%,94%,93%,0%,93%,94%,0%,94%,98%,0%,98%,1%,0%,1%
SAN XAVIER MISSION SCHOOL,1980 W SAN XAVIER RD,TUCSON,PIMA,85746,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SANBORN ELEMENTARY SCHOOL,700 N SUPERSTITION BLVD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,97,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,96%,3%,100%,96%,4%,100%,5%,1%,2%
SANDPIPER ELEMENTARY SCHOOL,6724 E HEARN RD,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,69,97%,3%,100%,90%,1%,91%,83%,4%,87%,96%,3%,99%,93%,4%,97%,97%,3%,100%,96%,4%,100%,9%,0%,1%
SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,4840 E. ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,79,99%,1%,100%,96%,4%,100%,96%,4%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,4%,3%,1%
SANTA CLARA ELEMENTARY SCHOOL,6910 S SANTA CLARA AVE,TUCSON,PIMA,85756,YES,RN,PUBLIC,75,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SANTA CRUZ CATHOLIC SCHOOL,29 W 22ND ST,TUCSON,PIMA,85713,YES,RN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SANTA FE ELEMENTARY SCHOOL,9880 N 77TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,87,100%,0%,100%,95%,3%,99%,94%,5%,99%,100%,0%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,3%,0%,0%
SANTAN ELEMENTARY SCHOOL,1550 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85249,NO,,PUBLIC,115,98%,2%,100%,93%,6%,99%,91%,5%,99%,98%,2%,100%,97%,3%,100%,98%,2%,100%,98%,2%,100%,6%,0%,2%
SATORI CHARTER SCHOOL,3727 N 1ST AVE,TUCSON,PIMA,85719,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SCOTTSDALE CHRISTIAN ACADEMY,14400 N TATUM BLVD,PHOENIX,MARICOPA,85032,YES,RN,PRIVATE,53,87%,13%,100%,77%,23%,100%,74%,26%,100%,85%,15%,100%,85%,15%,100%,87%,13%,100%,87%,13%,100%,28%,2%,9%
SCOTTSDALE COUNTRY DAY SCHOOL,10460 N 56TH ST,SCOTTSDALE,MARICOPA,85253,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SCOTTSDALE PREPARATORY ACADEMY,16537 N 92ND ST,SCOTTSDALE,MARICOPA,85260,YES,RN,CHARTER,165,96%,4%,100%,94%,5%,100%,90%,8%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,96%,4%,100%,12%,1%,4%
SEBA DALKAI BOARDING SCHOOL,1 MILE W OF HWY 87,SEBA DALKAI,NAVAJO,,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SECRIST MIDDLE SCHOOL,3400 S HOUGHTON RD,TUCSON,PIMA,85730,YES,RN,PUBLIC,119,99%,0%,100%,97%,1%,99%,96%,1%,99%,98%,1%,100%,99%,0%,100%,99%,0%,100%,100%,0%,100%,1%,0%,0%
SEDONA CHARTER SCHOOL,165 KACHINA DR,SEDONA,YAVAPAI,,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SELF DEVELOPMENT ACADEMY PHOENIX,1515 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,,NO,,CHARTER,23,100%,0%,100%,96%,0%,100%,91%,0%,96%,100%,0%,100%,96%,4%,100%,100%,0%,100%,100%,0%,100%,4%,0%,0%
SELF DEVELOPMENT CHARTER SCHOOL,1709 N GREENFIELD RD,MESA,MARICOPA,85205,NO,,CHARTER,49,92%,8%,100%,92%,8%,100%,86%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,8%,0%,8%
SELIGMAN ELEMENTARY SCHOOL,500 N MAIN ST,SELIGMAN,YAVAPAI,86337,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEQUOIA CHARTER ELEMENTARY SCHOOL,1460 S HORNE,MESA,MARICOPA,85204,NO,,CHARTER,91,96%,0%,98%,93%,0%,93%,7%,0%,89%,95%,0%,97%,93%,0%,97%,95%,0%,96%,96%,1%,97%,1%,0%,0%
SEQUOIA CHOICE SCHOOL ARIZONA DISTANCE LEARNING SCHOOL,HOME BASED,MESA,MARICOPA,85203,NO,,CHARTER,37,84%,16%,100%,54%,46%,100%,38%,51%,89%,78%,22%,100%,84%,16%,100%,84%,16%,100%,86%,14%,100%,59%,0%,16%
SEQUOIA LEHI CHARTER SCHOOL,2331 N HORNE,MESA,MARICOPA,85203,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEQUOIA PATHWAY ACADEMY,19265 N. PORTER RD,MARICOPA,PINAL,85138,NO,,CHARTER,131,86%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,87%,13%,100%,14%,1%,13%
SEQUOIA SCHOOL FOR THE DEAF AND HARD OF HEARING,1460 S HORNE,MESA,MARICOPA,85204,YES,RN,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEQUOIA VILLAGE,982 FULL HOUSE LN,SHOW LOW,NAVAJO,85901,NO,,CHARTER,33,82%,18%,100%,97%,0%,100%,64%,33%,100%,79%,21%,100%,76%,24%,100%,79%,21%,100%,82%,18%,100%,33%,0%,18%
SETTLERS POINT ELEMENTARY,423 E SETTLERS POINT,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,114,96%,4%,100%,91%,8%,100%,91%,8%,100%,96%,4%,100%,95%,5%,100%,96%,4%,100%,95%,5%,100%,8%,1%,3%
SEVILLA WEST SCHOOL,3851 W MISSOURI AVE,PHOENIX,MARICOPA,85019,NO,,PUBLIC,244,100%,0%,100%,95%,0%,95%,95%,0%,95%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SHARP,7302 E. ADOBE ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SHAW BUTTE SCHOOL,12202 N 21ST AVE,PHOENIX,MARICOPA,85029,YES,RN,PUBLIC,83,100%,0%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
SHEELY FARMS ELEMENTARY SCHOOL,9450 W ENCANTO BLVD,PHOENIX,MARICOPA,85037,YES,RN,PUBLIC,72,99%,1%,100%,96%,0%,100%,96%,0%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,99%,1%,100%,1%,0%,0%
SHUMWAY ELEMENTARY SCHOOL,1325 N SHUMWAY AVE,CHANDLER,MARICOPA,85225,NO,,PUBLIC,70,99%,1%,100%,84%,9%,100%,83%,10%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,9%,1%,1%
SIERRA MIDDLE SCHOOL,5801 S DEL MORAL BLVD,TUCSON,PIMA,85706,YES,RN,PUBLIC,122,99%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,1%,0%
SIERRA VERDE ELEMENTARY,7241 W ROSE GARDEN LN,GLENDALE,MARICOPA,85308,YES,RN,PUBLIC,131,95%,5%,100%,96%,4%,100%,95%,5%,100%,97%,3%,100%,97%,3%,100%,98%,2%,100%,97%,3%,100%,4%,1%,2%
SILVESTRE S HERRERA SCHOOL,1350 S 11TH ST,PHOENIX,MARICOPA,85034,YES,RN,PUBLIC,58,98%,2%,100%,93%,2%,95%,95%,2%,97%,98%,2%,100%,98%,2%,100%,100%,0%,100%,98%,2%,100%,2%,0%,0%
SINAGUA MIDDLE SCHOOL,3950 E BUTLER AVE,FLAGSTAFF,COCONINO,86004,YES,RN,PUBLIC,414,97%,3%,100%,98%,2%,100%,96%,3%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,5%,0%,3%
SIRRINE ELEMENTARY SCHOOL,591 W MESQUITE ST,CHANDLER,MARICOPA,85225,YES,RN,PUBLIC,50,100%,0%,100%,96%,4%,100%,96%,4%,100%,100%,0%,100%,96%,4%,100%,100%,0%,100%,100%,0%,100%,4%,0%,4%
SKULL VALLEY ELEMENTARY SCHOOL,3150 S OLD SKULL VALLEY RD,SKULL VALLEY,YAVAPAI,86338,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SKY VIEW ELEMENTARY SCHOOL,8624 W SWEETWATER,PEORIA,MARICOPA,85381,NO,,PUBLIC,61,97%,3%,100%,89%,11%,100%,89%,11%,100%,95%,5%,100%,95%,5%,100%,97%,3%,100%,95%,5%,100%,10%,2%,3%
