SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MCMVC,PCT_EXEMPT_MCMVC,PCT_COMPLIANCE_MCMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
RIVERA ELEMENTARY,5102 S CHERRY AVE,TUCSON,PIMA,85706,YES,RN,PUBLIC,76,96%,3%,99%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,96%,3%,99%,97%,3%,100%,3%,0%,3%
RIVERVIEW SCHOOL,12701 N MAIN ST,EL MIRAGE,MARICOPA,85335,YES,LPN,PUBLIC,92,97%,3%,100%,90%,2%,99%,95%,3%,98%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,4%,0%,2%
ROADRUNNER ELEMENTARY SCHOOL,7702 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,114,100%,0%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
ROADRUNNER ELEMENTARY SCHOOL,16651 W CALLE CARMELA,MARANA,PIMA,85653,YES,RN,PUBLIC,47,100%,0%,100%,87%,13%,100%,89%,11%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,11%,0%,0%
ROBERT AND DANELL TARWATER ELEMENTARY,2300 SOUTH GARDNER DRIVE,CHANDLER,MARICOPA,85248,NO,,PUBLIC,132,98%,2%,100%,91%,8%,100%,92%,8%,100%,97%,3%,100%,97%,3%,100%,98%,2%,100%,98%,2%,100%,10%,0%,1%
ROBERT AND DANELL TARWATER ELEMENTARY,2300 SOUTH GARDNER DRIVE,CHANDLER,MARICOPA,85248,NO,,PUBLIC,114,95%,5%,100%,88%,12%,100%,88%,12%,100%,95%,5%,100%,94%,6%,100%,95%,5%,100%,96%,4%,100%,13%,0%,12%
ROBERT RICHARDSON ELEMENTARY SCHOOL,6901 N CAMINO DE LA TIERRA,TUCSON,PIMA,85741,NO,,PUBLIC,62,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,2%,3%
ROBINS ELEMENTARY SCHOOL,3939 N MAGNETITE LN,TUCSON,PIMA,85745,YES,RN,PUBLIC,40,100%,0%,100%,98%,0%,98%,98%,0%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ROBSON ELEMENTARY SCHOOL,2122 E PUEBLO AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,91,97%,3%,100%,95%,3%,100%,95%,3%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,3%,0%,3%
ROGERS RANCH SCHOOL,6735 S 47TH AVE,LAVEEN,MARICOPA,85339,NO,,PUBLIC,114,97%,3%,100%,95%,4%,99%,89%,4%,96%,99%,1%,100%,99%,1%,100%,99%,1%,100%,98%,2%,100%,3%,0%,1%
RON WATSON MIDDLE SCHOOL,9851 E 28TH ST,YUMA,YUMA,85365,YES,RN,PUBLIC,140,98%,1%,99%,99%,1%,100%,99%,1%,100%,98%,1%,99%,98%,1%,99%,98%,1%,99%,98%,1%,99%,1%,0%,1%
RONALD REAGAN FUNDAMENTAL SCHOOL,3200 W 16TH ST,YUMA,YUMA,85364,YES,Both,PUBLIC,97,100%,0%,100%,97%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ROOSEVELT ELEMENTARY SCHOOL,828 S VALENCIA,MESA,MARICOPA,85202,YES,RN,PUBLIC,73,96%,4%,100%,100%,0%,100%,95%,0%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,3%,3%,0%
ROSKRUGE BILINGUAL ELEMENTARY SCHOOL,501 E 6TH ST,TUCSON,PIMA,,YES,RN,PUBLIC,123,100%,0%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,1%,0%
ROUND VALLEY INTERMEDIATE SCHOOL,165 S BROWN ST,EAGAR,APACHE,85925,NO,,PUBLIC,116,98%,2%,100%,91%,5%,96%,91%,5%,96%,97%,2%,99%,97%,2%,99%,97%,2%,100%,98%,2%,100%,5%,0%,2%
ROYAL PALM MIDDLE SCHOOL,8520 N 19TH AVE,PHOENIX,MARICOPA,85021,NO,,PUBLIC,223,94%,1%,100%,99%,1%,100%,98%,1%,99%,98%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,1%,0%,0%
RUDY G BOLOGNA ELEMENTARY,1625 E FRY RD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,79,99%,1%,100%,91%,3%,94%,87%,6%,94%,97%,3%,100%,96%,4%,100%,99%,1%,100%,99%,0%,99%,8%,0%,0%
RUTH FISHER ELEMENTARY SCHOOL,38201 W INDIAN SCHOOL RD,TONOPAH,MARICOPA,85354,NO,,PUBLIC,84,92%,5%,100%,99%,1%,100%,93%,4%,96%,92%,4%,100%,95%,4%,100%,90%,5%,100%,94%,6%,100%,6%,0%,1%
RUTH POWELL ELEMENTARY SCHOOL,1041 S 14TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,77,99%,1%,100%,84%,3%,88%,83%,3%,87%,97%,1%,99%,100%,0%,100%,100%,0%,100%,97%,0%,97%,3%,0%,1%
S. S. SIMON & JUDE SCHOOL,6351 NORTH 27TH AVENUE,PHOENIX,MARICOPA,85017,YES,RN,PRIVATE,45,98%,2%,100%,100%,0%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,2%,2%
SACRED HEART CATHOLIC SCHOOL,207 W OAK STREET,NOGALES,SANTA CRUZ,85621,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SACRED HEART ELEMENTARY SCHOOL,131 N SUMMIT AVE,PRESCOTT,YAVAPAI,86301,YES,RN,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAFFORD ELEMENTARY SCHOOL,200 E 13TH ST,TUCSON,PIMA,,YES,RN,PUBLIC,138,100%,0%,100%,98%,1%,100%,97%,2%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
SAGE ACADEMY,1055 E HEARN RD,PHOENIX,MARICOPA,85022,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAHUARITA MIDDLE SCHOOL,350 W SAHUARITA RD,SAHUARITA,PIMA,85629,NO,,PUBLIC,291,99%,1%,100%,71%,1%,72%,72%,1%,73%,99%,1%,100%,99%,1%,100%,98%,1%,99%,99%,1%,100%,1%,0%,1%
SAHUARO SCHOOL,12835 N 33RD AVE,PHOENIX,MARICOPA,85029,NO,,PUBLIC,74,96%,0%,96%,99%,1%,100%,96%,0%,97%,99%,0%,99%,99%,0%,99%,99%,0%,99%,100%,0%,100%,1%,0%,0%
SAINT AGNES CATHOLIC SCHOOL,2311 E PALM LN,PHOENIX,MARICOPA,85006,NO,,PRIVATE,27,89%,0%,89%,93%,0%,93%,4%,0%,4%,81%,0%,81%,67%,0%,67%,93%,0%,93%,89%,0%,89%,0%,0%,0%
SAINT AMBROSE SCHOOL,300 S TUCSON BLVD,TUCSON,PIMA,85716,YES,RN,PRIVATE,25,100%,0%,100%,96%,0%,100%,92%,0%,96%,100%,0%,100%,96%,0%,96%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAINT ANTHONY CATHOLIC SCHOOL,1400 E OWENS,SHOW LOW,NAVAJO,85901,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT CATHERINE OF SIENA SCHOOL,6413 S CENTRAL AVE,PHOENIX,MARICOPA,85042,NO,,PRIVATE,26,100%,0%,100%,88%,0%,88%,85%,0%,85%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAINT CYRIL OF ALEXANDRIA SCHOOL,4725 E PIMA ST,TUCSON,PIMA,85712,NO,,PRIVATE,49,96%,4%,100%,96%,4%,100%,94%,6%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,98%,2%,100%,8%,0%,2%
SAINT ELIZABETH ANN SETON SCHOOL,8650 N SHANNON RD,TUCSON,PIMA,85742,YES,RN,PRIVATE,41,100%,0%,100%,100%,0%,100%,95%,5%,100%,100%,0%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,5%,2%,0%
SAINT FRANCIS OF ASSISI SCHOOL,700 W 18TH ST,YUMA,YUMA,85364,NO,,PRIVATE,30,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
SAINT FRANCIS XAVIER SCHOOL,4715 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,77,99%,1%,100%,99%,1%,100%,96%,4%,100%,97%,3%,100%,96%,4%,100%,97%,3%,100%,97%,3%,100%,4%,0%,1%
SAINT JOHN THE EVANGELIST SCHOOL,600 W AJO WAY,TUCSON,PIMA,85713,YES,RN,PRIVATE,34,100%,0%,100%,88%,0%,88%,85%,0%,85%,100%,0%,100%,97%,0%,97%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAINT JOHN VIANNEY CATHOLIC SCHOOL,539 LA PASADA BLVD,GOODYEAR,MARICOPA,,NO,,PRIVATE,29,100%,0%,100%,100%,0%,100%,90%,3%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,3%,0%,3%
SAINT JOHN XXIII CATHOLIC SCHOOL,16235 N 60TH ST,SCOTTSDALE,MARICOPA,85254,YES,RN,PRIVATE,72,97%,3%,100%,96%,4%,100%,97%,3%,100%,97%,3%,100%,99%,1%,100%,97%,3%,100%,97%,3%,100%,6%,0%,1%
SAINT JOHNS MIDDLE SCHOOL,555 W 7TH SOUTH,SAINT JOHNS,APACHE,,NO,,PUBLIC,63,95%,5%,100%,92%,8%,100%,90%,10%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,95%,5%,100%,10%,2%,8%
SAINT JOSEPH CATHOLIC SCHOOL,215 S CRAYCROFT RD,TUCSON,PIMA,85711,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT MARY-BASHA CATHOLIC SCHOOL,200 W GALVESTON ST,CHANDLER,MARICOPA,85225,YES,RN,PRIVATE,44,98%,2%,100%,98%,2%,100%,93%,2%,95%,98%,2%,100%,98%,2%,100%,98%,0%,98%,95%,5%,100%,5%,0%,0%
SAINT MICHAEL INDIAN SCHOOL,,SAINT MICHAELS,APACHE,,YES,RN,PRIVATE,29,97%,0%,97%,97%,0%,97%,52%,0%,59%,97%,0%,97%,97%,0%,97%,97%,0%,97%,97%,0%,97%,0%,0%,0%
SAINT MICHAEL'S PARISH DAY SCHOOL,602 N WILMOT RD,TUCSON,PIMA,85711,YES,RN,PRIVATE,32,97%,3%,100%,94%,6%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,6%,0%,3%
SAINT PETER INDIAN MISSION SCHOOL,1500 N ST PETER RD,BAPCHULE,PINAL,,YES,RN,PRIVATE,23,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAINT THOMAS THE APOSTLE CATHOLIC SCHOOL,4510 N 24TH ST,PHOENIX,MARICOPA,85016,YES,RN,PRIVATE,60,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,97%,3%,100%,98%,2%,100%,3%,0%,2%
SAINT TIMOTHY CATHOLIC SCHOOL,2520 S ALMA SCHOOL RD,MESA,MARICOPA,85210,YES,RN,PRIVATE,24,96%,4%,100%,96%,4%,100%,92%,8%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,8%,0%,4%
SAINT VINCENT DE PAUL CATHOLIC SCHOOL,3130 N 51ST AVE,PHOENIX,MARICOPA,85031,NO,,PRIVATE,56,100%,0%,100%,100%,0%,100%,54%,0%,100%,98%,0%,98%,98%,0%,98%,100%,0%,100%,96%,0%,96%,0%,0%,0%
SAINTS PETER & PAUL CATHOLIC SCHOOL,1436 N CAMPBELL AVE,TUCSON,PIMA,85719,YES,RN,PRIVATE,51,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SALK ELEMENTARY SCHOOL,7029 E BROWN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,91,98%,0%,100%,96%,3%,100%,96%,3%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,4%,0%,1%
SALOME ELEMENTARY SCHOOL,SAGUARO ST AND MAIN ST,SALOME,LA PAZ,,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SALT RIVER ELEMENTARY SCHOOL,11582 E HIGHLAND RD,SCOTTSDALE,MARICOPA,85256,YES,RN,PRIVATE,58,100%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SAN FRANCISCO DE ASIS CATHOLIC SCHOOL,1600 EAST ROUTE 66,FLAGSTAFF,COCONINO,86001,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAN MARCOS ELEMENTARY SCHOOL,451 W FRYE RD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,73,97%,3%,100%,82%,14%,100%,84%,14%,100%,99%,1%,100%,99%,1%,100%,97%,1%,100%,99%,1%,100%,15%,0%,1%
SAN TAN CHARTER SCHOOL,3959 E ELLIOT RD,GILBERT,MARICOPA,85234,NO,,CHARTER,94,79%,14%,93%,48%,15%,64%,45%,15%,61%,78%,15%,93%,79%,15%,94%,79%,13%,91%,85%,12%,97%,6%,0%,10%
SAN TAN HEIGHTS ELEMENTARY,2500 W SAN TAN HEIGHTS BLVD,QUEEN CREEK,PINAL,85142,YES,RN,PUBLIC,68,96%,0%,96%,90%,1%,96%,88%,1%,94%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
SAN XAVIER MISSION SCHOOL,1980 W SAN XAVIER RD,TUCSON,PIMA,85746,YES,RN,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SANBORN ELEMENTARY SCHOOL,700 N SUPERSTITION BLVD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,91,99%,1%,100%,95%,1%,100%,96%,1%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,3%,0%,2%
SANDERS MIDDLE SCHOOL,"I-40, HWY 191",SANDERS,APACHE,,NO,,PUBLIC,58,100%,0%,100%,78%,0%,78%,78%,0%,78%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SANDPIPER ELEMENTARY SCHOOL,6724 E HEARN RD,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,52,90%,4%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,98%,2%,100%,94%,2%,100%,98%,2%,100%,8%,0%,0%
SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,4840 E. ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,78,97%,3%,100%,94%,5%,100%,95%,5%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,96%,4%,100%,6%,0%,3%
SANTA CLARA ELEMENTARY SCHOOL,6910 S SANTA CLARA AVE,TUCSON,PIMA,85756,YES,RN,PUBLIC,79,100%,0%,100%,100%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SANTA CRUZ CATHOLIC SCHOOL,29 W 22ND ST,TUCSON,PIMA,85713,YES,Both,PRIVATE,31,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SANTA FE ELEMENTARY SCHOOL,9880 N 77TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,102,97%,3%,100%,91%,9%,100%,91%,9%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,94%,6%,100%,6%,0%,3%
SANTA MARIA MIDDLE SCHOOL,7250 W LOWER BUCKEYE RD,PHOENIX,MARICOPA,85043,NO,,PUBLIC,250,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SANTAN ELEMENTARY SCHOOL,1550 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85249,NO,,PUBLIC,177,97%,3%,100%,92%,6%,100%,92%,6%,100%,97%,3%,100%,97%,3%,100%,96%,4%,100%,98%,2%,100%,6%,1%,2%
SATORI CHARTER SCHOOL,3727 N 1ST AVE,TUCSON,PIMA,85719,NO,,CHARTER,29,83%,17%,100%,52%,17%,69%,45%,17%,62%,83%,17%,100%,83%,17%,100%,83%,17%,100%,83%,17%,100%,17%,0%,17%
SCOTTSDALE CHRISTIAN ACADEMY  / EARLY CHILDHOOD,14400 NORTH TATUM BLVD,PHOENIX,MARICOPA,85032,YES,RN,PRIVATE,62,92%,8%,100%,87%,13%,100%,87%,13%,100%,90%,10%,100%,89%,11%,100%,94%,6%,100%,92%,8%,100%,19%,0%,5%
SECRIST MIDDLE SCHOOL,3400 S HOUGHTON RD,TUCSON,PIMA,85730,YES,RN,PUBLIC,148,99%,1%,100%,97%,3%,100%,97%,3%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,99%,1%,100%,3%,1%,1%
SEDONA CHARTER SCHOOL,165 KACHINA DR,SEDONA,YAVAPAI,,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SELF DEVELOPMENT ACADEMY PHOENIX,1515 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,,NO,,CHARTER,36,97%,3%,100%,97%,3%,100%,97%,3%,100%,100%,0%,100%,100%,0%,100%,97%,3%,100%,100%,0%,100%,3%,0%,3%
SELF DEVELOPMENT CHARTER SCHOOL,1709 N GREENFIELD RD,MESA,MARICOPA,85205,NO,,CHARTER,37,95%,5%,100%,81%,8%,95%,81%,8%,95%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,8%,0%,5%
SEQUOIA CHARTER ELEMENTARY SCHOOL,1460 S HORNE,MESA,MARICOPA,85204,NO,,CHARTER,76,99%,0%,99%,79%,0%,79%,80%,0%,80%,97%,0%,97%,96%,0%,96%,97%,0%,97%,99%,0%,99%,0%,1%,0%
SEQUOIA CHOICE SCHOOL ARIZONA DISTANCE LEARNING SCHOOL,HOME BASED,MESA,MARICOPA,85203,NO,,CHARTER,26,81%,19%,100%,50%,42%,92%,54%,38%,92%,81%,19%,100%,77%,23%,100%,81%,19%,100%,81%,19%,100%,38%,0%,19%
SEQUOIA LEHI CHARTER SCHOOL,2331 N HORNE,MESA,MARICOPA,85203,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SEQUOIA PATHWAY ACADEMY,19265 N. PORTER RD,MARICOPA,PINAL,85138,NO,,CHARTER,104,98%,2%,100%,96%,4%,100%,92%,4%,100%,96%,4%,100%,96%,4%,100%,98%,2%,100%,98%,2%,100%,10%,0%,10%
SEQUOIA VILLAGE,982 FULL HOUSE LN,SHOW LOW,NAVAJO,85901,NO,,CHARTER,28,96%,4%,100%,89%,11%,100%,89%,11%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,11%,0%,4%
SETTLERS POINT ELEMENTARY,423 E SETTLERS POINT,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,105,98%,2%,100%,94%,1%,100%,94%,1%,100%,98%,2%,100%,97%,3%,100%,98%,2%,100%,98%,2%,100%,4%,0%,1%
SEVILLA WEST SCHOOL,3851 W MISSOURI AVE,PHOENIX,MARICOPA,85019,NO,,PUBLIC,226,100%,0%,100%,97%,1%,99%,95%,1%,97%,99%,0%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
SHAW BUTTE SCHOOL,12202 N 21ST AVE,PHOENIX,MARICOPA,85029,NO,,PUBLIC,89,99%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,1%,0%,1%
SHEELY FARMS ELEMENTARY SCHOOL,9450 W ENCANTO BLVD,PHOENIX,MARICOPA,85037,YES,RN,PUBLIC,100,100%,0%,100%,98%,1%,99%,98%,1%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
SHEPHERD OF THE DESERT LUTHERAN SCHOOL,9590 E SHEA BLVD,SCOTTSDALE,MARICOPA,85260,NO,,PRIVATE,23,78%,17%,96%,13%,17%,35%,9%,17%,30%,57%,17%,74%,48%,17%,65%,70%,22%,91%,78%,17%,96%,22%,0%,17%
SHOW LOW JUNIOR HIGH SCHOOL,761 E MCNEIL,SHOW LOW,NAVAJO,85901,NO,,PUBLIC,193,89%,10%,100%,69%,16%,84%,66%,16%,82%,89%,9%,99%,89%,10%,99%,89%,9%,98%,91%,9%,100%,17%,3%,9%
SHUMWAY ELEMENTARY SCHOOL,1325 N SHUMWAY AVE,CHANDLER,MARICOPA,85225,NO,,PUBLIC,62,97%,3%,100%,82%,6%,100%,87%,6%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,5%,0%,3%
SIERRA MIDDLE SCHOOL,5801 S DEL MORAL BLVD,TUCSON,PIMA,85706,YES,RN,PUBLIC,126,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,1%,0%,0%
SIERRA VERDE ELEMENTARY,7241 W ROSE GARDEN LN,GLENDALE,MARICOPA,85308,YES,RN,PUBLIC,125,97%,3%,100%,89%,3%,100%,89%,3%,100%,97%,3%,100%,96%,3%,100%,97%,3%,100%,97%,3%,100%,3%,1%,2%
SILVESTRE S HERRERA SCHOOL,1350 S 11TH ST,PHOENIX,MARICOPA,85034,YES,RN,PUBLIC,70,100%,0%,100%,94%,0%,94%,94%,0%,94%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SIRRINE ELEMENTARY SCHOOL,591 W MESQUITE ST,CHANDLER,MARICOPA,85225,YES,RN,PUBLIC,61,98%,2%,100%,100%,0%,100%,93%,0%,100%,95%,5%,100%,95%,5%,100%,97%,3%,100%,100%,0%,100%,8%,0%,0%
SKY VIEW ELEMENTARY SCHOOL,8624 W SWEETWATER,PEORIA,MARICOPA,85381,YES,LPN,PUBLIC,62,97%,3%,100%,95%,5%,100%,89%,11%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,100%,0%,100%,13%,0%,10%
SKYLINE DISTRICT 5,CASA BLANCA & PRESCHOOL RD,BAPCHULE,PINAL,85121,YES,RN,CHARTER,25,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
SKYLINE RANCH ELEMENTARY,1084 W SAN TAN HILLS DR,QUEEN CREEK,PINAL,,NO,,PUBLIC,90,93%,2%,100%,99%,0%,100%,69%,2%,72%,93%,2%,100%,92%,2%,100%,92%,1%,100%,99%,1%,100%,2%,1%,2%
SKYVIEW SCHOOL,125 S RUSH ST,PRESCOTT,YAVAPAI,86303,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNOWFLAKE INTERMEDIATE SCHOOL,62 WEST 2ND SOUTH,SNOWFLAKE,NAVAJO,85937,NO,,PUBLIC,129,95%,5%,100%,91%,9%,100%,91%,9%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,96%,4%,100%,12%,0%,3%
SOLANO SCHOOL,1526 W MISSOURI AVE,PHOENIX,MARICOPA,85015,NO,,PUBLIC,92,99%,1%,100%,87%,2%,89%,86%,2%,88%,99%,1%,100%,97%,1%,98%,99%,1%,100%,98%,1%,99%,1%,0%,1%
SOLOMON ELEMENTARY SCHOOL,2250 S STEVENS AVE,SOLOMON,GRAHAM,85546,YES,LPN,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SOMERTON MIDDLE SCHOOL,1101 N SOMERTON AVE,SOMERTON,YUMA,85350,YES,RN,PUBLIC,338,100%,0%,100%,96%,1%,100%,95%,1%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
SONOMA RANCH ELEMENTARY SCHOOL,601 N BISCAYNE DR,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,61,95%,5%,100%,89%,3%,97%,89%,5%,97%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,7%,0%,3%
SONORAN FOOTHILLS SCHOOL,32150 N NORTH FOOTHILLS DR,PHOENIX,MARICOPA,85085,YES,RN,PUBLIC,105,95%,5%,100%,78%,22%,100%,77%,23%,100%,92%,8%,100%,92%,8%,100%,95%,5%,100%,94%,6%,100%,11%,0%,11%
