,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year,exempt_tdap
8124,SELF DEVELOPMENT ACADEMY PHOENIX,CHARTER,1515 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,85014.0,NO,34,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8125,HERITAGE ACADEMY LAVEEN-85339,CHARTER,4275 W BASELINE RD,LAVEEN,MARICOPA,85339.0,NO,49,89.8%,95.9%,93.9%,93.9%,95.9%,4.1%,4.1%,6.1%,6.1%,4.1%,2022,
8126,ARIZONA LANGUAGE PREPARATORY,CHARTER,4645 E MARILYN ROAD,PHOENIX,MARICOPA,85032.0,NO,<20,92.3%,92.3%,92.3%,100.0%,92.3%,7.7%,7.7%,7.7%,0.0%,7.7%,2022,
8127,BASIS GOODYEAR PRIMARY,CHARTER,15800 W SHERMAN ST,GOODYEAR,MARICOPA,85338.0,NO,95,84.2%,93.7%,92.6%,96.8%,96.8%,12.6%,6.3%,7.4%,3.2%,3.2%,2022,
8128,BASIS GOODYEAR,CHARTER,15800 W SHERMAN ST,GOODYEAR,MARICOPA,85338.0,NO,95,84.2%,93.7%,92.6%,96.8%,96.8%,12.6%,6.3%,7.4%,3.2%,3.2%,2022,
8129,ACADEMY OF MATH AND SCIENCE CAMELBACK,CHARTER,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033.0,NO,98,52.0%,83.7%,88.8%,87.8%,89.8%,0.0%,1.0%,0.0%,0.0%,0.0%,2022,
8130,LEGACY TRADITIONAL SCHOOL SURPRISE,CHARTER,14506 W SWEETWATER AVE,SURPRISE,MARICOPA,85379.0,YES,222,82.9%,95.5%,95.0%,95.5%,95.9%,14.9%,4.1%,5.0%,4.5%,4.1%,2022,
8131,BASIS PHOENIX SOUTH PRIMARY SCHOOL,CHARTER,5700 S 19TH AVE,PHOENIX,MARICOPA,85041.0,NO,27,81.5%,96.3%,100.0%,96.3%,96.3%,14.8%,3.7%,0.0%,3.7%,3.7%,2022,
8132,EMPOWER COLLEGE PREP,CHARTER,2411 W COLTER ST,PHOENIX,MARICOPA,85015.0,NO,96,86.5%,88.5%,88.5%,86.5%,90.6%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8133,DESERT SKY MIDDLE SCHOOL,PUBLIC,9850 E RANKIN LOOP,TUCSON,PIMA,85747.0,NO,238,77.7%,97.5%,97.5%,97.9%,97.9%,2.1%,2.1%,2.1%,2.1%,2.1%,2022,
8134,BASIS - PHOENIX,CHARTER,13231 N 22ND STREET,PHOENIX,MARICOPA,85022.0,NO,187,85.0%,94.1%,96.8%,98.4%,97.3%,11.8%,5.9%,3.2%,1.6%,2.7%,2022,
8135,ARCHWAY CLASSICAL ACADEMY GLENDALE,CHARTER,23276 N 83RD AVE,PEORIA,MARICOPA,85383.0,YES,109,83.5%,92.7%,93.6%,91.7%,94.5%,16.5%,7.3%,5.5%,8.3%,5.5%,2022,
8136,LEGACY TRADITIONAL SCHOOL - PEORIA,CHARTER,7877 W. HILLCREST BLVD,PEORIA,MARICOPA,85383.0,NO,53,71.7%,81.1%,81.1%,84.9%,86.8%,24.5%,18.9%,18.9%,15.1%,13.2%,2022,
8137,LEGACY TRADITIONAL SCHOOL - GLENDALE,PUBLIC,13091 N 67TH AVE,GLENDALE,MARICOPA,85306.0,NO,147,72.1%,87.8%,89.1%,91.2%,92.5%,22.4%,10.9%,10.2%,8.8%,7.5%,2022,
8138,LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,CHARTER,1900 N MCQUEEN RD,CHANDLER,MARICOPA,85225.0,NO,81,88.9%,95.1%,95.1%,95.1%,95.1%,9.9%,4.9%,4.9%,4.9%,4.9%,2022,
8139,LEGACY TRADITIONAL SCHOOL- EAST MESA,CHARTER,10707 E GUADALUPE RD,MESA,MARICOPA,85212.0,NO,88,64.8%,86.4%,86.4%,87.5%,89.8%,27.3%,13.6%,12.5%,11.4%,10.2%,2022,
8140,LEGACY TRADITIONAL SCHOOL - CHANDLER,CHARTER,3201 S GILBERT RD,CHANDLER,MARICOPA,85286.0,NO,122,71.3%,87.7%,91.8%,95.1%,95.1%,23.0%,6.6%,5.7%,4.9%,4.9%,2022,
8141,IMAGINE CHARTER ELEMENTARY SCHOOL AT EAST,CHARTER,9701 E SOUTHERN AVE,MESA,MARICOPA,85209.0,NO,88,89.8%,94.3%,94.3%,93.2%,94.3%,2.3%,2.3%,2.3%,2.3%,2.3%,2022,
8142,ARIZONA CONNECTIONS ACADEMY,CHARTER,335 E GERMANN RD,GILBERT,MARICOPA,85297.0,NO,200,59.5%,87.0%,85.5%,89.0%,89.5%,19.5%,12.5%,13.5%,11.0%,10.5%,2022,
8143,COUNTRY GARDENS CHARTER SCHOOL,CHARTER,6313 W SOUTHERN AVE,LAVEEN,MARICOPA,85339.0,NO,36,94.4%,97.2%,97.2%,97.2%,97.2%,2.8%,2.8%,2.8%,2.8%,2.8%,2022,
8144,CHANDLER PREPARATORY ACADEMY,CHARTER,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224.0,YES,141,85.8%,93.6%,94.3%,95.7%,97.2%,4.3%,1.4%,2.8%,2.8%,1.4%,2022,
8145,PRESCOTT VALLEY SCHOOL,CHARTER,9500 E. LORNA LN,PRESCOTT VALLEY,YAVAPAI,86314.0,YES,40,75.0%,90.0%,90.0%,92.5%,95.0%,22.5%,10.0%,10.0%,7.5%,5.0%,2022,
8146,LEGACY TRADITIONAL SCHOOL - MARICOPA,CHARTER,17760 REGENT DR,MARICOPA,PINAL,85138.0,NO,139,74.1%,89.2%,91.4%,92.8%,92.1%,21.6%,10.8%,7.9%,7.2%,7.9%,2022,
8147,IMAGINE ELEMENTARY AT CAMELBACK,CHARTER,5050 N 19TH AVE,PHOENIX,MARICOPA,85015.0,NO,52,57.7%,98.1%,96.2%,94.2%,96.2%,1.9%,0.0%,0.0%,0.0%,0.0%,2022,
8148,CORONA FOOTHILLS MIDDLE SCHOOL,PUBLIC,16705 S HOUGHTON RD,VAIL,PIMA,85641.0,NO,210,73.3%,96.2%,96.2%,96.2%,96.7%,4.3%,3.3%,3.3%,3.8%,3.3%,2022,
8149,IMAGINE MIDDLE SCHOOL AT SURPRISE,CHARTER,14850 N 156TH AVE,SURPRISE,MARICOPA,85379.0,NO,81,75.3%,91.4%,90.1%,90.1%,90.1%,7.4%,8.6%,7.4%,7.4%,8.6%,2022,
8150,CAREER SUCCESS SCHOOL - SAGE CAMPUS,CHARTER,3141 E CHEERY LYNN ROAD,PHOENIX,MARICOPA,85018.0,NO,<20,84.6%,92.3%,92.3%,92.3%,92.3%,15.4%,7.7%,7.7%,7.7%,7.7%,2022,
8151,GREAT HEARTS ANTHEM,CHARTER,3950 WEST ARROYO NORTE DRIVE,ANTHEM,MARICOPA,85087.0,YES,101,76.2%,87.1%,87.1%,85.1%,88.1%,19.8%,12.9%,12.9%,14.9%,11.9%,2022,
8152,GREAT HEARTS ACADEMIES - ARETE PREPARATORY ACADEMY,CHARTER,4525 E BASELINE RD,MESA,MARICOPA,85234.0,YES,112,84.8%,89.3%,90.2%,90.2%,88.4%,15.2%,10.7%,9.8%,9.8%,11.6%,2022,
8153,FREEDOM ACADEMY - E PARADISE LN,CHARTER,3916 E PARADISE LN,PHOENIX,MARICOPA,85032.0,YES,35,71.4%,80.0%,80.0%,77.1%,80.0%,28.6%,20.0%,20.0%,22.9%,20.0%,2022,
8154,CONCORDIA CHARTER SCHOOL,CHARTER,142 N DATE ST,MESA,MARICOPA,85201.0,NO,<20,100.0%,91.7%,91.7%,83.3%,100.0%,0.0%,8.3%,8.3%,8.3%,0.0%,2022,
8155,IMAGINE MIDDLE AT DESERT WEST,CHARTER,6800 W MCDOWELL RD,PHOENIX,MARICOPA,85035.0,NO,117,100.0%,100.0%,100.0%,100.0%,99.1%,0.0%,0.0%,0.0%,0.0%,0.9%,2022,
8156,SCOTTSDALE PREPARATORY ACADEMY,CHARTER,16537 N 92ND ST,SCOTTSDALE,MARICOPA,85260.0,YES,181,80.1%,89.0%,91.2%,90.1%,94.5%,19.3%,11.0%,8.8%,9.9%,5.5%,2022,
8157,CANDEO SCHOOLS,CHARTER,9965 W CALLE LEJOS,PEORIA,MARICOPA,85383.0,NO,63,88.9%,88.9%,88.9%,88.9%,88.9%,11.1%,11.1%,11.1%,11.1%,11.1%,2022,
8158,SAN TAN CHARTER SCHOOL,CHARTER,3959 E ELLIOT RD,GILBERT,MARICOPA,85234.0,YES,83,38.6%,74.7%,74.7%,71.1%,75.9%,28.9%,22.9%,21.7%,22.9%,22.9%,2022,
8159,EAGLE COLLEGE PREP - S MOUNTAIN,CHARTER,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041.0,NO,57,84.2%,98.2%,98.2%,98.2%,98.2%,1.8%,1.8%,1.8%,1.8%,1.8%,2022,
8160,PARAGON SCIENCE ACADEMY,CHARTER,2975 W LINDA LN,CHANDLER,MARICOPA,85224.0,NO,44,84.1%,100.0%,97.7%,97.7%,100.0%,4.5%,0.0%,2.3%,2.3%,0.0%,2022,
8161,ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,PUBLIC,735 E FILLMORE ST,PHOENIX,MARICOPA,85006.0,YES,103,82.5%,99.0%,100.0%,100.0%,100.0%,1.9%,0.0%,0.0%,0.0%,0.0%,2022,
8162,IMAGINE MIDDLE AT COOLIDGE,CHARTER,1290 W VAH KI INN RD,COOLIDGE,PINAL,85128.0,NO,96,49.0%,89.6%,90.6%,92.7%,99.0%,1.0%,1.0%,1.0%,1.0%,1.0%,2022,
8163,ADAMS TRADITIONAL ACADEMY,CHARTER,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027.0,YES,48,85.4%,97.9%,95.8%,95.8%,97.9%,8.3%,2.1%,4.2%,4.2%,2.1%,2022,
8164,PIONEER PREPARATORY - A CHALLENGE FOUNDATION,CHARTER,6510 W CLARENDON AVE,PHOENIX,MARICOPA,85033.0,YES,73,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8165,RINCON VISTA MIDDLE SCHOOL,PUBLIC,10770 E BILBY RD,TUCSON,PIMA,85747.0,NO,238,95.4%,97.9%,97.9%,97.9%,98.7%,2.1%,1.3%,1.3%,1.3%,1.3%,2022,
8166,IMAGINE MIDDLE AT SUPERSTITION,CHARTER,1843 W 16TH AVE,APACHE JUNCTION,PINAL,85120.0,NO,31,93.5%,93.5%,93.5%,93.5%,93.5%,6.5%,6.5%,6.5%,6.5%,6.5%,2022,
8167,IMAGINE MIDDLE AT AVONDALE,CHARTER,950 N ELISIO C FELIX JR WAY,AVONDALE,MARICOPA,85323.0,NO,68,94.1%,94.1%,94.1%,94.1%,94.1%,5.9%,5.9%,5.9%,5.9%,5.9%,2022,
8168,SUN VALLEY ACADEMY - PHOENIX,CHARTER,2675 W BASELINE RD,PHOENIX,MARICOPA,85041.0,NO,68,92.6%,95.6%,94.1%,95.6%,95.6%,7.4%,4.4%,4.4%,4.4%,4.4%,2022,
8169,ASU PREPARATORY ACADEMY - SOUTH PHOENIX PRIMARY,CHARTER,5610 S CENTRAL AVE,PHOENIX,MARICOPA,85040.0,YES,26,92.3%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8170,PAULDEN COMMUNITY SCHOOL,CHARTER,24850 N NAPLES DR,PAULDEN,YAVAPAI,86334.0,YES,<20,93.3%,80.0%,80.0%,93.3%,80.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8171,ODYSSEY INSTITUTE FOR ADVANDED STUDIES,CHARTER,1495 S AIRPORT RD,BUCKEYE,MARICOPA,85326.0,NO,289,84.4%,93.1%,94.8%,94.8%,95.5%,8.0%,5.9%,5.2%,5.2%,4.5%,2022,
8172,VECTOR PREP AND ARTS ACADEMY,CHARTER,2020 N ARIZONA AVE,CHANDLER,MARICOPA,85225.0,NO,31,93.5%,96.8%,96.8%,93.5%,96.8%,6.5%,3.2%,3.2%,6.5%,3.2%,2022,
8173,ESMOND STATION SCHOOL,PUBLIC,9400 S ATTERBURY WASH WAY,TUCSON,PIMA,85747.0,NO,93,91.4%,97.8%,97.8%,96.8%,97.8%,5.4%,2.2%,2.2%,3.2%,2.2%,2022,
8174,LEARNING FOUNDATION AND PERFORMING ARTS WARNER,CHARTER,3939 E WARNER RD,GILBERT,MARICOPA,85296.0,NO,51,78.4%,92.2%,92.2%,92.2%,92.2%,21.6%,7.8%,7.8%,7.8%,7.8%,2022,
8175,SKYLINE DISTRICT 5,CHARTER,CASA BLANCA & PRESCHOOL RD,BAPCHULE,PINAL,85121.0,NO,41,73.2%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8176,GILBERT ARTS ACADEMY,CHARTER,862 E ELLIOT RD,GILBERT,MARICOPA,85234.0,NO,<20,71.4%,92.9%,92.9%,92.9%,92.9%,7.1%,7.1%,7.1%,7.1%,7.1%,2022,
8177,LIBERTY ARTS ACADEMY,CHARTER,3015 S POWER RD,MESA,MARICOPA,85212.0,NO,43,86.0%,95.3%,95.3%,95.3%,100.0%,14.0%,4.7%,4.7%,4.7%,0.0%,2022,
8178,EDISON SCHOOL OF INNOVATION,CHARTER,8340 W NORTHERN AVE,GLENDALE,MARICOPA,85305.0,NO,28,89.3%,96.4%,96.4%,96.4%,96.4%,3.6%,3.6%,3.6%,3.6%,3.6%,2022,
8179,SONORAN SCIENCE ACADEMY - PEORIA,CHARTER,17667 N 91ST AVE,PEORIA,MARICOPA,85382.0,NO,28,78.6%,89.3%,78.6%,85.7%,89.3%,17.9%,10.7%,14.3%,10.7%,10.7%,2022,
8180,SOUTH VALLEY PREP AND ARTS SCHOOL,CHARTER,7450 S 40TH ST,PHOENIX,MARICOPA,85042.0,NO,59,88.1%,91.5%,91.5%,91.5%,91.5%,8.5%,8.5%,8.5%,8.5%,8.5%,2022,
8181,HAVASU PREPARATORY ACADEMY ,CHARTER,3155 MARICOPA AVE,LAKE HAVASU CITY,MOHAVE,86406.0,NO,30,93.3%,96.7%,96.7%,96.7%,96.7%,6.7%,3.3%,3.3%,3.3%,3.3%,2022,
8182,VAL VISTA ACADEMY - A BALL CHARTER SCHOOL,CHARTER,4120 S VAL VISTA DR,GILBERT,MARICOPA,85297.0,NO,30,70.0%,96.7%,100.0%,96.7%,96.7%,6.7%,0.0%,0.0%,3.3%,0.0%,2022,
8183,BASIS - PEORIA,CHARTER,9902 W YEARLING ROAD,PEORIA,MARICOPA,85383.0,NO,196,81.1%,93.9%,95.9%,100.0%,100.0%,6.6%,4.1%,3.6%,0.0%,0.0%,2022,
8184,BASIS - CHANDLER,CHARTER,4825 S. ARIZONA AVE,CHANDLER,MARICOPA,85248.0,NO,213,90.6%,99.1%,100.0%,100.0%,100.0%,1.4%,0.9%,0.0%,0.0%,0.0%,2022,
8185,TRIVIUM PREPARATORY ACADEMY,CHARTER,2001 N BULLARD AVE,GOODYEAR,MARICOPA,85395.0,YES,163,90.8%,95.1%,95.7%,96.3%,96.9%,8.6%,4.9%,4.3%,3.7%,3.1%,2022,
8186,MARYVALE PREPARATORY ACADEMY,CHARTER,4825 W CAMELBACK RD,PHOENIX,MARICOPA,85031.0,YES,66,97.0%,92.4%,93.9%,93.9%,93.9%,3.0%,7.6%,6.1%,6.1%,6.1%,2022,
8187,HAPPY VALLEY SCHOOL - EAST CAMPUS,CHARTER,266 E WESTBROOKE RD.,SAN TAN VALLEY,PINAL,85140.0,NO,52,69.2%,94.2%,96.2%,96.2%,96.2%,13.5%,3.8%,3.8%,3.8%,3.8%,2022,
8188,RIDGELINE ACADEMY,CHARTER,33625 N NORTH VALLEY PKWY,PHOENIX,MARICOPA,85085.0,NO,81,97.5%,96.3%,96.3%,96.3%,97.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2022,
8189,MESA ARTS ACADEMY,CHARTER,221 W SIXTH AVE,MESA,MARICOPA,85210.0,NO,26,100.0%,100.0%,96.2%,96.2%,100.0%,0.0%,0.0%,3.8%,0.0%,0.0%,2022,
8190,DESERT HEIGHTS PREPARATORY ACADEMY,CHARTER,3540 W UNION HILLS DR,GLENDALE,MARICOPA,85308.0,NO,74,100.0%,93.2%,94.6%,93.2%,97.3%,0.0%,6.8%,5.4%,6.8%,2.7%,2022,
8191,BENNETT ACADEMY - W BETHANY HOME RD,CHARTER,2930 W BETHANY HOME RD,PHOENIX,MARICOPA,85017.0,NO,25,68.0%,100.0%,96.0%,96.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8192,VAIL ACADEMY & HIGH SCHOOL,CHARTER,7762 E SCIENCE PARK DR,TUCSON,PIMA,85747.0,NO,58,86.2%,96.6%,96.6%,96.6%,98.3%,1.7%,1.7%,1.7%,1.7%,1.7%,2022,
8193,EDUPRIZE SCHOOL - QUEEN CREEK,CHARTER,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142.0,YES,181,84.5%,92.8%,92.8%,93.9%,95.0%,11.6%,5.5%,6.1%,5.0%,4.4%,2022,
8194,EDUPRIZE SCHOOL - GILBERT,CHARTER,580 W MELODY DR,GILBERT,MARICOPA,85233.0,YES,164,84.8%,81.1%,90.9%,92.7%,93.9%,14.0%,8.5%,6.1%,7.3%,6.1%,2022,
8195,ACCLAIM ACADEMY,CHARTER,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033.0,NO,36,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8196,SEQUOIA CHOICE SCHOOL ARIZONA DISTANCE LEARNING SCHOOL,CHARTER,HOME BASED,MESA,MARICOPA,85203.0,NO,302,36.4%,63.2%,65.2%,68.5%,70.2%,45.4%,34.4%,33.4%,30.8%,28.8%,2022,
8197,ARIZONA SCHOOL FOR THE ARTS,CHARTER,1410 N 3RD ST,PHOENIX,MARICOPA,85004.0,NO,114,94.7%,91.2%,94.7%,89.5%,92.1%,5.3%,8.8%,5.3%,10.5%,7.9%,2022,
8198,CENTER FOR EDUCATIONAL EXCELLENCE,CHARTER,1700 E ELLIOT RD,TEMPE,MARICOPA,85284.0,NO,<20,90.0%,95.0%,95.0%,95.0%,95.0%,10.0%,5.0%,5.0%,5.0%,5.0%,2022,
8199,AMERICAN LEADERSHIP ACADEMY - GILBERT,CHARTER,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295.0,NO,78,70.5%,92.3%,92.3%,92.3%,96.2%,26.9%,7.7%,7.7%,7.7%,3.8%,2022,
8200,AMERICAN LEADERSHIP ACADEMY - QUEEN CREEK,CHARTER,23908 S HAWES RD,QUEEN CREEK,MARICOPA,85142.0,NO,173,68.8%,93.1%,93.6%,93.1%,96.0%,27.7%,6.9%,6.4%,6.9%,4.0%,2022,
8201,AMERICAN LEADERSHIP ACADEMY - SAN TAN,CHARTER,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142.0,NO,85,84.7%,94.1%,94.1%,95.3%,95.3%,14.1%,5.9%,5.9%,4.7%,4.7%,2022,
8202,AMERICAN LEADERSHIP ACADEMY - MESA,CHARTER,4507 S MOUNTAIN RD,MESA,MARICOPA,85212.0,NO,49,67.3%,91.8%,93.9%,89.8%,93.9%,26.5%,8.2%,6.1%,10.2%,6.1%,2022,
8203,AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,CHARTER,4380 N HUNT HWY,FLORENCE,PINAL,85132.0,YES,84,52.4%,89.3%,89.3%,92.9%,92.9%,36.9%,10.7%,10.7%,7.1%,7.1%,2022,
8204,AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,CHARTER,650 W COMBS RD,QUEEN CREEK,PINAL,85140.0,NO,146,74.0%,90.4%,91.8%,91.8%,94.5%,21.2%,9.6%,8.2%,8.2%,5.5%,2022,
8205,AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,CHARTER,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298.0,NO,51,52.9%,82.4%,82.4%,78.4%,82.4%,43.1%,17.6%,17.6%,21.6%,17.6%,2022,
8206,AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,CHARTER,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296.0,NO,148,66.9%,85.8%,86.5%,88.5%,88.5%,29.7%,14.2%,13.5%,11.5%,11.5%,2022,
8207,AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,CHARTER,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142.0,NO,40,62.5%,80.0%,80.0%,80.0%,80.0%,32.5%,20.0%,20.0%,20.0%,20.0%,2022,
8208,BASIS - SCOTTSDALE,CHARTER,10400 N. 128TH ST,SCOTTSDALE,MARICOPA,85259.0,NO,191,82.7%,96.3%,96.9%,95.8%,94.8%,15.2%,3.7%,3.1%,4.2%,5.2%,2022,
8209,PATHFINDER ACADEMY - N BOULDER CANYON,CHARTER,2906 N BOULDER CANYON,MESA,MARICOPA,85207.0,NO,73,58.9%,75.3%,75.3%,75.3%,76.7%,41.1%,24.7%,24.7%,24.7%,23.3%,2022,
8210,SEQUOIA LEHI CHARTER SCHOOL,CHARTER,2331 N HORNE,MESA,MARICOPA,85203.0,NO,<20,100.0%,100.0%,92.3%,100.0%,100.0%,0.0%,0.0%,7.7%,0.0%,0.0%,2022,
8211,PATHFINDER ACADEMY AT EASTMARK,CHARTER,4816 S EASTMARK PKWY,MESA,MARICOPA,85212.0,NO,42,66.7%,85.7%,90.5%,88.1%,92.9%,33.3%,14.3%,9.5%,11.9%,7.1%,2022,
8212,GEORGE WASHINGTON ACADEMY,CHARTER,1945 S 1ST EAST,SNOWFLAKE,NAVAJO,85937.0,NO,21,66.7%,66.7%,66.7%,66.7%,66.7%,33.3%,33.3%,33.3%,33.3%,33.3%,2022,
8213,REID TRADITIONAL SCHOOLS - VALLEY ACADEMY,CHARTER,1520 W ROSE GARDEN LN,PHOENIX,MARICOPA,85027.0,YES,54,81.5%,98.1%,94.4%,92.6%,88.9%,14.8%,1.9%,5.6%,7.4%,11.1%,2022,
8214,SAHUARITA MIDDLE SCHOOL,PUBLIC,350 W SAHUARITA RD,SAHUARITA,PIMA,85629.0,YES,174,96.0%,99.4%,99.4%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8215,BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,CHARTER,22120 E. QUEEN CREEK RD,QUEEN CREEK,MARICOPA,85142.0,NO,96,71.9%,82.3%,83.3%,84.4%,86.5%,28.1%,17.7%,16.7%,15.6%,13.5%,2022,
8216,BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,CHARTER,1475 SOUTH VAL VISTA DRIVE,GILBERT,MARICOPA,85296.0,NO,80,70.0%,88.8%,87.5%,88.8%,90.0%,27.5%,11.3%,12.5%,11.3%,10.0%,2022,
8217,BENJAMIN FRANKLIN CHARTER SCHOOL - POWER RD,CHARTER,22951 SOUTH POWER ROAD,QUEEN CREEK,MARICOPA,85142.0,NO,88,67.0%,92.0%,89.8%,89.8%,92.0%,31.8%,8.0%,10.2%,10.2%,8.0%,2022,
8218,MONTESSORI DAY PUBLIC SCHOOLS  - MOUNTAINSIDE,CHARTER,9215 N 14TH ST,PHOENIX,MARICOPA,85020.0,NO,<20,76.9%,84.6%,84.6%,84.6%,84.6%,23.1%,15.4%,15.4%,15.4%,15.4%,2022,
8219,NEW WORLD EDUCATIONAL CENTER,CHARTER,5818 N 7TH ST,PHOENIX,MARICOPA,85014.0,NO,24,87.5%,87.5%,87.5%,87.5%,87.5%,12.5%,12.5%,12.5%,12.5%,12.5%,2022,
8220,BRIGHT BEGINNINGS SCHOOL #1 - N ANDERSEN BLVD,CHARTER,400 N ANDERSEN BLVD,CHANDLER,MARICOPA,85224.0,NO,<20,95.0%,95.0%,95.0%,95.0%,95.0%,5.0%,5.0%,5.0%,5.0%,5.0%,2022,
8221,MONTESSORI EDUCATION CENTRE CHARTER SCHOOL-85204,CHARTER,2834 E SOUTHERN AVE,MESA,MARICOPA,85204.0,NO,<20,58.8%,82.4%,94.1%,88.2%,94.1%,41.2%,17.6%,5.9%,11.8%,5.9%,2022,
8222,MONTESSORI EDUCATION CENTRE CHARTER SCHOOL-85203,CHARTER,815 N GILBERT RD,MESA,MARICOPA,85203.0,NO,<20,14.3%,50.0%,50.0%,57.1%,57.1%,85.7%,50.0%,50.0%,42.9%,42.9%,2022,
8223,SOUTH POINTE PUBLIC JUNIOR HIGH SCHOOL,CHARTER,217 E OLYMPIC DR,PHOENIX,MARICOPA,85020.0,NO,31,93.5%,96.8%,96.8%,96.8%,100.0%,6.5%,3.2%,3.2%,3.2%,0.0%,2022,
8224,BENCHMARK SCHOOL,CHARTER,4120 E ACOMA DR,PHOENIX,MARICOPA,85032.0,NO,49,95.9%,95.9%,95.9%,93.9%,81.6%,4.1%,4.1%,4.1%,4.1%,4.1%,2022,
8225,CAMBRIDGE ACADEMY - MESA CAMPUS,CHARTER,9412 E BROWN RD,MESA,MARICOPA,85207.0,NO,<20,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8226,NEW HORIZON SCHOOL FOR THE PERFORMING ART,CHARTER,446 E BROADWAY RD,MESA,MARICOPA,85204.0,NO,21,81.0%,95.2%,95.2%,95.2%,95.2%,19.0%,4.8%,4.8%,4.8%,4.8%,2022,
8227,CHALLENGE CHARTER SCHOOL,CHARTER,5801 W GREENBRIAR DR,GLENDALE,MARICOPA,85308.0,NO,52,82.7%,94.2%,94.2%,98.1%,96.2%,15.4%,5.8%,5.8%,1.9%,3.8%,2022,
8228,ANZA TRAIL ELEMENTARY,PUBLIC,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629.0,NO,193,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8229,KEYSTONE MONTESSORI CHARTER SCHOOL,CHARTER,1025 E LIBERTY LN,PHOENIX,MARICOPA,85048.0,NO,<20,85.0%,90.0%,90.0%,85.0%,90.0%,10.0%,10.0%,10.0%,10.0%,10.0%,2022,
8230,STEPPING STONES ACADEMY,CHARTER,35812 N 7TH ST,PHOENIX,MARICOPA,85086.0,NO,28,67.9%,60.7%,60.7%,60.7%,60.7%,25.0%,28.6%,28.6%,28.6%,28.6%,2022,
8231,LIBERTY TRADITIONAL CHARTER SCHOOL - N 45TH AVE,CHARTER,4901 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85031.0,NO,<20,100.0%,93.3%,86.7%,93.3%,93.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
8232,LIBERTY TRADITIONAL CHARTER SCHOOL - SADDLEBACK,CHARTER,3715 N WASHINGTON AVE,DOUGLAS,COCHISE,85607.0,NO,24,79.2%,100.0%,95.8%,100.0%,100.0%,4.2%,0.0%,0.0%,0.0%,0.0%,2022,
8233,CHAMPION CHANDLER,CHARTER,250 S MCQUEEN RD,CHANDLER,MARICOPA,85225.0,NO,36,77.8%,88.9%,88.9%,94.4%,100.0%,13.9%,2.8%,2.8%,2.8%,0.0%,2022,
8234,CHAMPION SCHOOLS SAN TAN VALLEY,CHARTER,1846 E BELLA VISTA RD,SAN TAN VALLEY,PINAL,85143.0,NO,39,100.0%,89.7%,92.3%,87.2%,94.9%,0.0%,0.0%,0.0%,0.0%,0.0%,2022,
